Booking date,Booking ID,Reservation date,Rate plan type,Number of rooms booked,Price
2019-12-29,851449fc-ebf6-40b8-ae4d-ab3200aec9d2,2019-12-30,Miscellaneous,1,36.94
2019-12-29,c35fa5ee-d6b6-4cb7-b803-ab3200f6d7ac,2019-12-30,Miscellaneous,1,36.94
2019-12-29,9113e4a5-dd94-4358-811e-ab3200086af4,2019-12-31,Miscellaneous,1,50.86
2019-12-29,53e89b1a-37be-4a70-a4bc-ab320184e5ca,2019-12-29,Miscellaneous,1,39.2
2019-12-29,8c3e7f02-7f91-480d-97fe-ab3200aa3c89,2019-12-31,Miscellaneous,1,0
2019-12-29,9113e4a5-dd94-4358-811e-ab3200086af4,2019-12-29,Miscellaneous,1,34.2
2019-12-29,3d24940e-de25-4592-ba3e-ab32007e6592,2019-12-31,Miscellaneous,1,50.88
2019-12-29,eb7013f8-3a1f-4f80-960a-ab32007e6592,2019-12-31,Miscellaneous,1,50.88
2019-12-29,97fa9a48-62b7-40f3-bf1a-ab3200f0de3c,2019-12-30,Miscellaneous,1,36.94
2019-12-29,a268610c-ea24-4371-843d-ab3200764553,2019-12-30,Miscellaneous,1,42.3
2019-12-29,d1b1c332-1ff7-42bb-80f1-ab3200bc5be0,2019-12-31,Miscellaneous,1,50.88
2019-12-29,11e5742c-eb1c-4e62-aa24-ab3200fc228e,2019-12-30,Miscellaneous,1,42.3
2019-12-29,b25969ab-9cb1-4fc1-955b-ab3200033819,2019-12-31,Miscellaneous,1,58.3
2019-12-29,22aa980f-dd50-41ef-bb87-ab3200bc5be0,2019-12-29,Miscellaneous,1,34.2
2019-12-29,22aa980f-dd50-41ef-bb87-ab3200bc5be0,2019-12-30,Miscellaneous,1,36.94
2019-12-29,2b0b4176-3850-4c10-a9c6-ab32007e6592,2019-12-30,Miscellaneous,1,36.94
2019-12-29,22aa980f-dd50-41ef-bb87-ab3200bc5be0,2019-12-31,Miscellaneous,1,50.88
2019-12-28,70f44e9e-b739-4217-bd09-ab3101277374,2019-12-30,Miscellaneous,1,42.3
2019-12-28,0e9e2e95-5ed0-48b6-af00-ab3100f666e4,2019-12-30,Miscellaneous,1,42.3
2019-12-28,8e560fe7-957e-485d-bb67-ab3100b16440,2019-12-30,Miscellaneous,1,36.94
2019-12-28,70f44e9e-b739-4217-bd09-ab3101277374,2019-12-29,Miscellaneous,1,39.2
2019-12-28,9bfd62a6-7763-4b0b-a292-ab3100b16440,2019-12-31,Miscellaneous,1,50.88
2019-12-28,8e560fe7-957e-485d-bb67-ab3100b16440,2019-12-31,Miscellaneous,1,50.88
2019-12-28,e58979f3-da45-4c61-a781-ab3100f666e4,2019-12-29,Miscellaneous,1,38.2
2019-12-28,0e9e2e95-5ed0-48b6-af00-ab3100f666e4,2019-12-28,Miscellaneous,1,37.2
2019-12-28,149cfdf1-18c7-4ffa-a8e9-ab3100b16440,2019-12-30,Miscellaneous,1,36.94
2019-12-28,16582d36-9cff-4a2c-8072-ab3101701676,2019-12-31,Miscellaneous,1,58.3
2019-12-28,5b503562-69f1-4d91-b70d-ab3100b5678f,2019-12-31,Miscellaneous,1,50.88
2019-12-28,9bfd62a6-7763-4b0b-a292-ab3100b16440,2019-12-30,Miscellaneous,1,36.94
2019-12-28,19920177-eb84-4178-8c4f-ab3100f666e4,2019-12-29,Miscellaneous,1,38.2
2019-12-28,16582d36-9cff-4a2c-8072-ab3101701676,2019-12-30,Miscellaneous,1,42.3
2019-12-28,19920177-eb84-4178-8c4f-ab3100f666e4,2019-12-30,Miscellaneous,1,42.3
2019-12-28,e58979f3-da45-4c61-a781-ab3100f666e4,2019-12-30,Miscellaneous,1,42.3
2019-12-28,e58979f3-da45-4c61-a781-ab3100f666e4,2019-12-28,Miscellaneous,1,37.2
2019-12-28,19920177-eb84-4178-8c4f-ab3100f666e4,2019-12-28,Miscellaneous,1,37.2
2019-12-28,149cfdf1-18c7-4ffa-a8e9-ab3100b16440,2019-12-31,Miscellaneous,1,50.88
2019-12-28,8f68f187-dde9-46a0-ab99-ab31011fda0c,2019-12-28,Miscellaneous,1,262.2
2019-12-28,0e9e2e95-5ed0-48b6-af00-ab3100f666e4,2019-12-29,Miscellaneous,1,38.2
2019-12-28,afb07633-9657-4fe2-8716-ab31003bb8e3,2019-12-31,Miscellaneous,1,15
2019-12-28,70f44e9e-b739-4217-bd09-ab3101277374,2019-12-28,Miscellaneous,1,37.2
2019-12-27,40e007b0-74f0-4152-a463-ab300149c252,2019-12-28,Miscellaneous,1,32.39
2019-12-27,f9c61314-75e1-4ad6-82d2-ab300148eec6,2019-12-28,Miscellaneous,1,32.37
2019-12-27,8a96d5b5-741d-4859-91f6-ab3000ecefbc,2019-12-28,Miscellaneous,1,39.02
2019-12-27,59f2a0d5-10fe-417c-8534-ab3000df7a4b,2019-12-27,Miscellaneous,1,35.7
2019-12-27,1c6572d5-75a6-46ea-9a40-ab300148eec6,2019-12-28,Miscellaneous,1,32.39
2019-12-27,c25c171f-2597-487d-ad78-ab300148eec6,2019-12-28,Miscellaneous,1,32.39
2019-12-27,58f1cd6a-d1c3-486d-8f57-ab300148eec6,2019-12-28,Miscellaneous,1,32.39
2019-12-27,b2202d91-668a-437a-aedb-ab300148eec6,2019-12-28,Miscellaneous,1,32.39
2019-12-27,90a9a6bd-931a-4fd0-9e7a-ab3000e25779,2019-12-31,Miscellaneous,1,0
2019-12-27,bc0b6856-246d-445d-bccf-ab300148eec6,2019-12-28,Miscellaneous,1,32.39
2019-12-27,c61618d3-7304-439f-94df-ab300161e682,2019-12-31,Miscellaneous,1,61.29
2019-12-27,857d2ff2-8516-4b6b-b6c9-ab3001139972,2019-12-28,Miscellaneous,1,37.1
2019-12-26,d83462a8-674a-459e-ae6b-ab2f001bc9a5,2019-12-27,Miscellaneous,1,31.17
2019-12-26,6afe3996-ec7c-48e0-a533-ab2f013133ca,2019-12-27,Miscellaneous,1,35.7
2019-12-26,d83462a8-674a-459e-ae6b-ab2f001bc9a5,2019-12-29,Miscellaneous,1,34.18
2019-12-26,2db9802b-3453-451b-aac6-ab2f0011be87,2019-12-30,Miscellaneous,1,45.5
2019-12-26,7208dab8-c42a-4f0a-bd4b-ab2f0165b220,2019-12-28,Miscellaneous,1,32.39
2019-12-26,8c321157-3708-468e-b7fe-ab2f01086121,2019-12-31,Miscellaneous,1,322.62
2019-12-26,ac1d9a4f-6142-4d80-bb14-ab2f0172e5d1,2019-12-28,Miscellaneous,1,32.39
2019-12-26,6afe3996-ec7c-48e0-a533-ab2f013133ca,2019-12-29,Miscellaneous,1,39.2
2019-12-26,d83462a8-674a-459e-ae6b-ab2f001bc9a5,2019-12-28,Miscellaneous,1,32.39
2019-12-26,2437dd4b-7276-4d3a-8c66-ab2f00bf094e,2019-12-26,Miscellaneous,1,22.05
2019-12-26,f5dd53da-f69e-470a-b36a-ab2f00273b94,2019-12-26,Miscellaneous,1,24
2019-12-26,6afe3996-ec7c-48e0-a533-ab2f013133ca,2019-12-28,Miscellaneous,1,37.1
2019-12-26,7208dab8-c42a-4f0a-bd4b-ab2f0165b220,2019-12-29,Miscellaneous,1,34.18
2019-12-26,2437dd4b-7276-4d3a-8c66-ab2f00bf094e,2019-12-27,Miscellaneous,1,31.17
2019-12-26,2db9802b-3453-451b-aac6-ab2f0011be87,2019-12-31,Miscellaneous,1,59.8
2019-12-25,d1a6b1d1-ba04-4dcb-9c56-ab2e0014f4a8,2019-12-25,Miscellaneous,1,19.3
2019-12-25,427a454e-8b85-45a9-8661-ab2e0017c5f2,2019-12-29,Miscellaneous,1,15
2019-12-25,6d8b42de-fc0f-4407-84ce-ab2e0004a2a4,2019-12-30,Miscellaneous,1,42.07
2019-12-25,8599b634-7e3d-4e2c-b3e4-ab2e0105ed07,2019-12-29,Miscellaneous,1,39.2
2019-12-25,2849db47-dc8e-4827-ac04-ab2e0139145d,2019-12-28,Miscellaneous,1,194.34
2019-12-25,6d8b42de-fc0f-4407-84ce-ab2e0004a2a4,2019-12-28,Miscellaneous,1,32.39
2019-12-25,427a454e-8b85-45a9-8661-ab2e0017c5f2,2019-12-26,Miscellaneous,1,15
2019-12-25,427a454e-8b85-45a9-8661-ab2e0017c5f2,2019-12-25,Miscellaneous,1,15
2019-12-25,39f7aa4e-e4a4-4d06-b8f6-ab2e00dc1a52,2019-12-29,Miscellaneous,1,34.18
2019-12-25,8599b634-7e3d-4e2c-b3e4-ab2e0105ed07,2019-12-31,Miscellaneous,1,59.5
2019-12-25,39f7aa4e-e4a4-4d06-b8f6-ab2e00dc1a52,2019-12-30,Miscellaneous,1,42.07
2019-12-25,8599b634-7e3d-4e2c-b3e4-ab2e0105ed07,2019-12-30,Miscellaneous,1,45.7
2019-12-25,6d8b42de-fc0f-4407-84ce-ab2e0004a2a4,2019-12-29,Miscellaneous,1,34.18
2019-12-25,6d8b42de-fc0f-4407-84ce-ab2e0004a2a4,2019-12-31,Miscellaneous,1,53.78
2019-12-25,427a454e-8b85-45a9-8661-ab2e0017c5f2,2019-12-28,Miscellaneous,1,15
2019-12-25,427a454e-8b85-45a9-8661-ab2e0017c5f2,2019-12-30,Miscellaneous,1,15
2019-12-25,86867f4a-0db0-4f44-b4ee-ab2e018650c2,2019-12-25,Miscellaneous,1,0
2019-12-25,8599b634-7e3d-4e2c-b3e4-ab2e0105ed07,2019-12-28,Miscellaneous,1,37.1
2019-12-25,427a454e-8b85-45a9-8661-ab2e0017c5f2,2019-12-27,Miscellaneous,1,15
2019-12-25,e36539fb-e2d0-4c39-b19f-ab2e00a4333a,2019-12-30,Miscellaneous,1,42.07
2019-12-24,7f52813c-1c1c-4af1-a090-ab2d00b2fd8b,2019-12-27,Miscellaneous,1,31.48
2019-12-24,ccacc1f2-f62d-446d-9ba6-ab2d01369b55,2019-12-31,Miscellaneous,1,53.78
2019-12-24,9b1629d4-5864-4b2e-ae0d-ab2d007957e4,2019-12-24,Miscellaneous,1,18.92
2019-12-24,8093ee3c-8a2c-4e5c-883c-ab2d01408a6c,2019-12-27,Miscellaneous,1,31.17
2019-12-24,0aa30701-e491-4519-b293-ab2d0063caa7,2019-12-28,Miscellaneous,1,35.2
2019-12-24,2fff6348-2a69-438a-91d1-ab2d00ddb2b7,2019-12-31,Miscellaneous,1,67.1
2019-12-24,0bbec3ca-c159-4450-8843-ab2d001f629b,2019-12-28,Miscellaneous,1,35.5
2019-12-24,8093ee3c-8a2c-4e5c-883c-ab2d01408a6c,2019-12-29,Miscellaneous,1,34.18
2019-12-24,7f52813c-1c1c-4af1-a090-ab2d00b2fd8b,2019-12-29,Miscellaneous,1,34.53
2019-12-24,2fff6348-2a69-438a-91d1-ab2d00ddb2b7,2019-12-29,Miscellaneous,1,41.6
2019-12-24,8093ee3c-8a2c-4e5c-883c-ab2d01408a6c,2019-12-28,Miscellaneous,1,32.39
2019-12-24,c3b27957-a4d7-4e95-b177-ab2d01706e5c,2019-12-25,Miscellaneous,1,0
2019-12-24,3c14aad6-b472-4ea0-a354-ab2d00cd0a17,2019-12-31,Miscellaneous,1,67.1
2019-12-24,0aa30701-e491-4519-b293-ab2d0063caa7,2019-12-29,Miscellaneous,1,36.2
2019-12-24,7f52813c-1c1c-4af1-a090-ab2d00b2fd8b,2019-12-30,Miscellaneous,1,42.16
2019-12-24,68ed3597-7fb5-49d8-9d38-ab2d0060f3dc,2019-12-31,Miscellaneous,1,67.1
2019-12-24,40f63146-c416-474c-8c11-ab2d00795e56,2019-12-31,Miscellaneous,1,52.98
2019-12-24,9b1629d4-5864-4b2e-ae0d-ab2d007957e4,2019-12-26,Miscellaneous,1,22.39
2019-12-24,9b1629d4-5864-4b2e-ae0d-ab2d007957e4,2019-12-25,Miscellaneous,1,19.59
2019-12-24,0bbec3ca-c159-4450-8843-ab2d001f629b,2019-12-27,Miscellaneous,1,34.1
2019-12-24,77db3f2b-323c-4327-b4f3-ab2d0111dea5,2019-12-25,Miscellaneous,1,21
2019-12-24,6766b580-2b8e-4a38-b8f9-ab2d00cd0a17,2019-12-31,Miscellaneous,1,67.1
2019-12-24,77db3f2b-323c-4327-b4f3-ab2d0111dea5,2019-12-24,Miscellaneous,1,20.3
2019-12-24,951f9eaa-ac0f-46da-a502-ab2d015d292e,2019-12-31,Miscellaneous,1,53.78
2019-12-24,7f52813c-1c1c-4af1-a090-ab2d00b2fd8b,2019-12-28,Miscellaneous,1,32.45
2019-12-24,2fff6348-2a69-438a-91d1-ab2d00ddb2b7,2019-12-30,Miscellaneous,1,50.8
2019-12-23,dc503bc1-e0ae-4e73-939f-ab2c01159906,2019-12-31,Miscellaneous,1,0
2019-12-23,556fe305-8c56-40a1-9127-ab2c011aa4e5,2019-12-25,Miscellaneous,1,0
2019-12-23,6029e8ed-ef07-4c28-8ecf-ab2c016e046e,2019-12-30,Miscellaneous,1,42.16
2019-12-23,1206fd66-2e21-4581-87fe-ab2c01191123,2019-12-31,Miscellaneous,1,0
2019-12-23,be67a378-b7e2-4732-85a6-ab2c00f8e354,2019-12-28,Miscellaneous,1,40.3
2019-12-23,18334570-b20b-42e9-847d-ab2c0116577f,2019-12-31,Miscellaneous,1,0
2019-12-23,add922da-9f75-4a57-8519-ab2c00550972,2019-12-24,Miscellaneous,1,20.5
2019-12-23,a445a67a-782c-4722-915b-ab2c00e6daa1,2019-12-23,Miscellaneous,1,20
2019-12-23,556fe305-8c56-40a1-9127-ab2c011aa4e5,2019-12-24,Miscellaneous,1,0
2019-12-23,590bd680-481f-4f6c-8ff1-ab2c016e046e,2019-12-30,Miscellaneous,1,42.16
2019-12-23,0d9cb93c-5fbe-4e04-ab84-ab2c011b8c06,2019-12-25,Miscellaneous,1,0
2019-12-23,c0008779-8387-4f9a-90e7-ab2c011878df,2019-12-31,Miscellaneous,1,0
2019-12-23,be67a378-b7e2-4732-85a6-ab2c00f8e354,2019-12-30,Miscellaneous,1,52.4
2019-12-23,be67a378-b7e2-4732-85a6-ab2c00f8e354,2019-12-27,Miscellaneous,1,38
2019-12-23,be67a378-b7e2-4732-85a6-ab2c00f8e354,2019-12-29,Miscellaneous,1,41.6
2019-12-23,50fc00a4-f4f3-44f4-a0a5-ab2c0114ff9f,2019-12-31,Miscellaneous,1,0
2019-12-23,e26a30e1-bda1-4526-b7d0-ab2c014583c9,2019-12-26,Miscellaneous,1,22.39
2019-12-23,e36fb81d-373e-4070-996e-ab2c00cb78d0,2019-12-27,Miscellaneous,1,38
2019-12-23,be67a378-b7e2-4732-85a6-ab2c00f8e354,2019-12-31,Miscellaneous,1,67.1
2019-12-23,271f8314-269c-406a-b0a0-ab2c01174c80,2019-12-31,Miscellaneous,1,0
2019-12-23,becb7ac1-4c7f-4f52-9f59-ab2c008f4cc9,2019-12-23,Miscellaneous,1,20
2019-12-23,193c3145-b459-4e82-9e9b-ab2c0119d42b,2019-12-25,Miscellaneous,1,0
2019-12-23,c2c94746-f293-428b-bded-ab2c0116ba58,2019-12-31,Miscellaneous,1,0
2019-12-23,e26a30e1-bda1-4526-b7d0-ab2c014583c9,2019-12-27,Miscellaneous,1,31.48
2019-12-23,8d92c956-206e-4f1d-b51c-ab2c0083183e,2019-12-23,Miscellaneous,1,23.3
2019-12-23,18b79035-7791-4cb5-8046-ab2c004e783a,2019-12-25,Miscellaneous,1,19.54
2019-12-23,e26a30e1-bda1-4526-b7d0-ab2c014583c9,2019-12-28,Miscellaneous,1,32.45
2019-12-23,0d9cb93c-5fbe-4e04-ab84-ab2c011b8c06,2019-12-24,Miscellaneous,1,0
2019-12-23,bd14ce14-6ab8-425f-9fa6-ab2c00ab80bb,2019-12-23,Miscellaneous,1,23.3
2019-12-22,6b20af66-013b-4923-a2af-ab2b014d8ebe,2019-12-25,Miscellaneous,1,21.08
2019-12-22,6db5b413-d024-4a43-9275-ab2b00f07816,2019-12-22,Miscellaneous,1,20.9
2019-12-22,cd73e986-b0e3-4e9d-b713-ab2b00a0c7a0,2019-12-29,Miscellaneous,1,37
2019-12-22,3e7ab4d9-a1c3-4d64-a163-ab2b00a0c7a0,2019-12-29,Miscellaneous,1,37
2019-12-22,a044cac0-5d86-4bb2-ba94-ab2b00a0c7a0,2019-12-30,Miscellaneous,1,45.1
2019-12-22,3e7ab4d9-a1c3-4d64-a163-ab2b00a0c7a0,2019-12-31,Miscellaneous,1,60.7
2019-12-22,cd73e986-b0e3-4e9d-b713-ab2b00a0c7a0,2019-12-30,Miscellaneous,1,45.1
2019-12-22,b3d19978-e9d6-4659-b843-ab2b0000e336,2019-12-21,Miscellaneous,1,23.4
2019-12-22,db44c8a4-5415-4962-b3e1-ab2b015bf161,2019-12-22,Miscellaneous,1,19.21
2019-12-22,e49d4e28-6c39-4db2-9217-ab2b00a30e2c,2019-12-22,Miscellaneous,1,20.9
2019-12-22,9cfbf155-4ed7-4d1d-ab3e-ab2b01754630,2019-12-28,Miscellaneous,1,34.25
2019-12-22,a044cac0-5d86-4bb2-ba94-ab2b00a0c7a0,2019-12-31,Miscellaneous,1,60.7
2019-12-22,6b20af66-013b-4923-a2af-ab2b014d8ebe,2019-12-24,Miscellaneous,1,20.31
2019-12-22,9ce690ca-80e0-4a97-bab2-ab2b00a356ea,2019-12-22,Miscellaneous,1,20.9
2019-12-22,3e7ab4d9-a1c3-4d64-a163-ab2b00a0c7a0,2019-12-30,Miscellaneous,1,45.1
2019-12-22,a044cac0-5d86-4bb2-ba94-ab2b00a0c7a0,2019-12-29,Miscellaneous,1,37
2019-12-22,cd73e986-b0e3-4e9d-b713-ab2b00a0c7a0,2019-12-31,Miscellaneous,1,60.7
2019-12-21,0e3ced76-2fbe-4400-80cb-ab2a002d4a0f,2019-12-21,Miscellaneous,1,20.38
2019-12-21,bd0b4c0d-3ff9-4600-9ded-ab2a00da64cd,2019-12-21,Miscellaneous,1,20.38
2019-12-21,0e3ced76-2fbe-4400-80cb-ab2a002d4a0f,2019-12-22,Miscellaneous,1,19.21
2019-12-21,e002ad2c-6d78-42ad-8112-ab2a00a07054,2019-12-21,Miscellaneous,1,23.4
2019-12-21,36471a69-7ab3-43ca-930a-ab2a0118f899,2019-12-31,Miscellaneous,1,57.04
2019-12-21,0e3ced76-2fbe-4400-80cb-ab2a002d4a0f,2019-12-25,Miscellaneous,1,19.54
2019-12-21,36471a69-7ab3-43ca-930a-ab2a0118f899,2019-12-30,Miscellaneous,1,43.6
2019-12-21,0e3ced76-2fbe-4400-80cb-ab2a002d4a0f,2019-12-23,Miscellaneous,1,18.42
2019-12-21,e2ff3bf7-40a0-4569-be32-ab2a017cd3c1,2019-12-31,Miscellaneous,1,67.1
2019-12-21,0e3ced76-2fbe-4400-80cb-ab2a002d4a0f,2019-12-24,Miscellaneous,1,18.88
2019-12-20,3c9194fc-bcb1-45d8-a6d3-ab2900dae9f5,2019-12-29,Miscellaneous,1,34.59
2019-12-20,207272e0-9151-4e81-86b8-ab2900fc0e5d,2019-12-20,Miscellaneous,1,21.7
2019-12-20,85b93e75-fb4a-4b42-8e08-ab29008abd6e,2019-12-20,Miscellaneous,1,21.7
2019-12-20,f8c1d3ef-2208-461f-9c10-ab29008abd6e,2019-12-20,Miscellaneous,1,21.7
2019-12-20,3c9194fc-bcb1-45d8-a6d3-ab2900dae9f5,2019-12-28,Miscellaneous,1,32.45
2019-12-20,52d3cac3-1686-44ed-864d-ab2900dae9f5,2019-12-28,Miscellaneous,1,32.45
2019-12-20,d18d9ae0-85e6-4748-835d-ab2900dae9f5,2019-12-29,Miscellaneous,1,34.59
2019-12-20,9b6271ed-799a-48ab-87bc-ab29008d23a2,2019-12-23,Miscellaneous,1,18.42
2019-12-20,91558fd4-c6b9-4b49-860a-ab290153a550,2019-12-27,Miscellaneous,1,34.5
2019-12-20,4115e7c3-0902-4ea0-9b4d-ab2900840509,2019-12-20,Miscellaneous,1,19.94
2019-12-20,719633c8-c560-40d5-9de0-ab2900858f46,2019-12-21,Miscellaneous,1,15
2019-12-20,a67e053d-53b5-4d4b-b5f6-ab2901249f4b,2019-12-21,Miscellaneous,1,21.93
2019-12-20,8e70a393-ece5-4725-b2c1-ab2900dae9f5,2019-12-29,Miscellaneous,1,34.62
2019-12-20,91558fd4-c6b9-4b49-860a-ab290153a550,2019-12-30,Miscellaneous,1,43.7
2019-12-20,ecb4f4b6-9f57-476d-88dc-ab2900fc0e5d,2019-12-20,Miscellaneous,1,21.7
2019-12-20,a67e053d-53b5-4d4b-b5f6-ab2901249f4b,2019-12-22,Miscellaneous,1,20.74
2019-12-20,719633c8-c560-40d5-9de0-ab2900858f46,2019-12-24,Miscellaneous,1,15
2019-12-20,52d3cac3-1686-44ed-864d-ab2900dae9f5,2019-12-29,Miscellaneous,1,34.59
2019-12-20,d18d9ae0-85e6-4748-835d-ab2900dae9f5,2019-12-28,Miscellaneous,1,32.45
2019-12-20,4754e2db-8800-4f81-aeb5-ab290111ccfd,2019-12-26,Miscellaneous,1,25.92
2019-12-20,719633c8-c560-40d5-9de0-ab2900858f46,2019-12-20,Miscellaneous,1,15
2019-12-20,719633c8-c560-40d5-9de0-ab2900858f46,2019-12-22,Miscellaneous,1,15
2019-12-20,719633c8-c560-40d5-9de0-ab2900858f46,2019-12-23,Miscellaneous,1,15
2019-12-20,d8fdd535-36b0-4148-8fec-ab290103f0d8,2019-12-21,Miscellaneous,1,20.38
2019-12-20,a33e27fe-85eb-413f-ac9d-ab29009a2c3a,2019-12-26,Miscellaneous,1,27.4
2019-12-20,a33e27fe-85eb-413f-ac9d-ab29009a2c3a,2019-12-25,Miscellaneous,1,23.6
2019-12-20,a33e27fe-85eb-413f-ac9d-ab29009a2c3a,2019-12-24,Miscellaneous,1,22.8
2019-12-20,d8fdd535-36b0-4148-8fec-ab290103f0d8,2019-12-20,Miscellaneous,1,19.94
2019-12-20,91558fd4-c6b9-4b49-860a-ab290153a550,2019-12-31,Miscellaneous,1,57.5
2019-12-20,a33e27fe-85eb-413f-ac9d-ab29009a2c3a,2019-12-28,Miscellaneous,1,39.1
2019-12-20,a33e27fe-85eb-413f-ac9d-ab29009a2c3a,2019-12-27,Miscellaneous,1,38.4
2019-12-20,4115e7c3-0902-4ea0-9b4d-ab2900840509,2019-12-21,Miscellaneous,1,20.38
2019-12-20,91558fd4-c6b9-4b49-860a-ab290153a550,2019-12-28,Miscellaneous,1,35.2
2019-12-20,8e70a393-ece5-4725-b2c1-ab2900dae9f5,2019-12-28,Miscellaneous,1,32.45
