,Price,Reservation date,Room type,Hotel name
128,53.0,2023-10-06,Single room,
129,238.0,2023-10-06,Studio,Hotel D
130,34.0,2023-10-05,Male dorm,Hostel A
131,42.2,2023-10-05,,
132,26.4,2023-10-05,Twin room,Hotel C
133,29.2,2023-10-05,Large dorm,Hostel B
134,37.5,2023-10-05,Female dorm,Hostel A
135,28.7,2023-10-05,,Hotel C
136,184.0,2023-10-05,Studio,Hotel D
137,33.3,2023-10-05,Single room,Hotel C
138,49.0,2023-10-05,Single room,
139,38.8,2023-10-05,Twin room,
140,38.7,2023-10-04,,
141,32.4,2023-10-04,Single room,Hotel C
142,32.0,2023-10-04,Male dorm,Hostel A
143,184.0,2023-10-04,Studio,Hotel D
144,29.0,2023-10-04,Large dorm,Hostel B
145,35.6,2023-10-04,Twin room,
146,35.0,2023-10-04,Female dorm,Hostel A
147,27.9,2023-10-04,,Hotel C
148,25.7,2023-10-04,Twin room,Hotel C
149,44.9,2023-10-04,Single room,
150,32.0,2023-10-03,Male dorm,Hostel A
151,24.7,2023-10-03,Twin room,Hotel C
152,35.0,2023-10-03,Female dorm,Hostel A
153,31.1,2023-10-03,Single room,Hotel C
154,28.8,2023-10-03,Large dorm,Hostel B
155,38.7,2023-10-03,,
156,44.9,2023-10-03,Single room,
157,26.8,2023-10-03,,Hotel C
158,35.6,2023-10-03,Twin room,
159,184.0,2023-10-03,Studio,Hotel D
160,25.9,2023-10-02,,Hotel C
161,184.0,2023-10-02,Studio,Hotel D
162,32.0,2023-10-02,Male dorm,Hostel A
163,42.8,2023-10-02,Single room,
164,35.0,2023-10-02,Female dorm,Hostel A
165,33.9,2023-10-02,Twin room,
166,28.0,2023-10-02,Large dorm,Hostel B
167,36.9,2023-10-02,,
168,23.8,2023-10-02,Twin room,Hotel C
169,30.0,2023-10-02,Single room,Hotel C
170,29.3,2023-10-01,Large dorm,Hostel B
171,30.0,2023-10-01,Single room,Hotel C
172,23.8,2023-10-01,Twin room,Hotel C
173,184.0,2023-10-01,Studio,Hotel D
174,42.8,2023-10-01,Single room,
175,33.9,2023-10-01,Twin room,
176,25.9,2023-10-01,,Hotel C
177,32.0,2023-10-01,Male dorm,Hostel A
178,36.9,2023-10-01,,
179,35.0,2023-10-01,Female dorm,Hostel A
180,45.7,2023-09-30,,
181,42.0,2023-09-30,Twin room,
182,40.0,2023-09-30,Large dorm,Hostel B
183,300.0,2023-09-30,Studio,Hotel D
184,63.0,2023-09-30,Male dorm,Hostel A
185,34.7,2023-09-30,,Hotel C
186,31.9,2023-09-30,Twin room,Hotel C
187,53.0,2023-09-30,Single room,
188,73.75,2023-09-30,Female dorm,Hostel A
189,40.3,2023-09-30,Single room,Hotel C
190,34.7,2023-09-29,,Hotel C
191,42.0,2023-09-29,Twin room,
192,48.0,2023-09-29,Male dorm,Hostel A
193,55.0,2023-09-29,Female dorm,Hostel A
194,31.9,2023-09-29,Twin room,Hotel C
195,45.7,2023-09-29,,
196,40.0,2023-09-29,Large dorm,Hostel B
197,53.0,2023-09-29,Single room,
198,270.0,2023-09-29,Studio,Hotel D
199,40.3,2023-09-29,Single room,Hotel C
200,49.0,2023-09-28,Single room,
201,32.6,2023-09-28,,Hotel C
202,36.0,2023-09-28,Male dorm,Hostel A
203,35.9,2023-09-28,Large dorm,Hostel B
204,42.2,2023-09-28,,
205,37.8,2023-09-28,Single room,Hotel C
206,38.8,2023-09-28,Twin room,
207,40.0,2023-09-28,Female dorm,Hostel A
208,206.0,2023-09-28,Studio,Hotel D
209,30.0,2023-09-28,Twin room,Hotel C
210,199.0,2023-09-27,Studio,Hotel D
211,34.6,2023-09-27,Large dorm,Hostel B
212,38.7,2023-09-27,,
213,30.3,2023-09-27,,Hotel C
214,35.1,2023-09-27,Single room,Hotel C
215,44.9,2023-09-27,Single room,
216,34.0,2023-09-27,Male dorm,Hostel A
217,35.6,2023-09-27,Twin room,
218,27.9,2023-09-27,Twin room,Hotel C
219,37.5,2023-09-27,Female dorm,Hostel A
220,34.0,2023-09-26,Male dorm,Hostel A
221,44.9,2023-09-26,Single room,
222,27.9,2023-09-26,Twin room,Hotel C
223,190.0,2023-09-26,Studio,Hotel D
224,35.6,2023-09-26,Twin room,
225,30.3,2023-09-26,,Hotel C
226,35.3,2023-09-26,Large dorm,Hostel B
227,35.1,2023-09-26,Single room,Hotel C
228,37.5,2023-09-26,Female dorm,Hostel A
229,38.7,2023-09-26,,
230,37.5,2023-09-25,Female dorm,Hostel A
231,42.8,2023-09-25,Single room,
232,33.9,2023-09-25,Twin room,
233,36.9,2023-09-25,,
234,29.2,2023-09-25,,Hotel C
235,26.9,2023-09-25,Twin room,Hotel C
236,34.0,2023-09-25,Male dorm,Hostel A
237,35.0,2023-09-25,Large dorm,Hostel B
238,187.0,2023-09-25,Studio,Hotel D
239,33.9,2023-09-25,Single room,Hotel C
240,33.9,2023-09-24,Single room,Hotel C
241,26.9,2023-09-24,Twin room,Hotel C
242,42.8,2023-09-24,Single room,
243,36.4,2023-09-24,Large dorm,Hostel B
244,36.9,2023-09-24,,
245,32.5,2023-09-24,Female dorm,Hostel A
246,189.0,2023-09-24,Studio,Hotel D
247,29.2,2023-09-24,,Hotel C
248,30.0,2023-09-24,Male dorm,Hostel A
249,33.9,2023-09-24,Twin room,
250,45.7,2023-09-23,,
251,31.9,2023-09-23,Twin room,Hotel C
252,73.75,2023-09-23,Female dorm,Hostel A
253,63.0,2023-09-23,Male dorm,Hostel A
254,42.0,2023-09-23,Twin room,
255,300.0,2023-09-23,Studio,Hotel D
256,34.7,2023-09-23,,Hotel C
257,40.0,2023-09-23,Large dorm,Hostel B
258,53.0,2023-09-23,Single room,
259,40.3,2023-09-23,Single room,Hotel C
260,42.0,2023-09-22,Twin room,
261,40.0,2023-09-22,Large dorm,Hostel B
262,45.7,2023-09-22,,
263,48.0,2023-09-22,Male dorm,Hostel A
264,40.3,2023-09-22,Single room,Hotel C
265,53.0,2023-09-22,Single room,
266,34.7,2023-09-22,,Hotel C
267,31.9,2023-09-22,Twin room,Hotel C
268,55.0,2023-09-22,Female dorm,Hostel A
269,269.0,2023-09-22,Studio,Hotel D
270,202.0,2023-09-21,Studio,Hotel D
271,30.0,2023-09-21,Twin room,Hotel C
272,49.0,2023-09-21,Single room,
273,42.2,2023-09-21,,
274,32.6,2023-09-21,,Hotel C
275,38.8,2023-09-21,Twin room,
276,36.0,2023-09-21,Male dorm,Hostel A
277,37.8,2023-09-21,Single room,Hotel C
278,40.0,2023-09-21,Female dorm,Hostel A
279,36.7,2023-09-21,Large dorm,Hostel B
280,35.6,2023-09-20,Twin room,
281,37.5,2023-09-20,Female dorm,Hostel A
282,27.9,2023-09-20,Twin room,Hotel C
283,199.0,2023-09-20,Studio,Hotel D
284,34.0,2023-09-20,Male dorm,Hostel A
285,38.7,2023-09-20,,
286,35.1,2023-09-20,Single room,Hotel C
287,44.9,2023-09-20,Single room,
288,30.3,2023-09-20,,Hotel C
289,35.5,2023-09-20,Large dorm,Hostel B
290,35.6,2023-09-19,Twin room,
291,37.5,2023-09-19,Female dorm,Hostel A
292,34.0,2023-09-19,Male dorm,Hostel A
293,44.9,2023-09-19,Single room,
294,38.7,2023-09-19,,
295,30.3,2023-09-19,,Hotel C
296,27.9,2023-09-19,Twin room,Hotel C
297,190.0,2023-09-19,Studio,Hotel D
298,34.9,2023-09-19,Large dorm,Hostel B
299,35.1,2023-09-19,Single room,Hotel C
300,33.9,2023-09-18,Twin room,
301,33.9,2023-09-18,Single room,Hotel C
302,34.5,2023-09-18,Large dorm,Hostel B
303,37.5,2023-09-18,Female dorm,Hostel A
304,42.8,2023-09-18,Single room,
305,29.2,2023-09-18,,Hotel C
306,36.9,2023-09-18,,
307,34.0,2023-09-18,Male dorm,Hostel A
308,26.9,2023-09-18,Twin room,Hotel C
309,184.0,2023-09-18,Studio,Hotel D
310,29.2,2023-09-17,,Hotel C
311,192.0,2023-09-17,Studio,Hotel D
312,33.9,2023-09-17,Twin room,
313,30.0,2023-09-17,Male dorm,Hostel A
314,36.2,2023-09-17,Large dorm,Hostel B
315,36.9,2023-09-17,,
316,33.9,2023-09-17,Single room,Hotel C
317,42.8,2023-09-17,Single room,
318,32.5,2023-09-17,Female dorm,Hostel A
319,26.9,2023-09-17,Twin room,Hotel C
320,53.0,2023-09-16,Single room,
321,34.7,2023-09-16,,Hotel C
322,40.0,2023-09-16,Large dorm,Hostel B
323,45.7,2023-09-16,,
324,63.0,2023-09-16,Male dorm,Hostel A
325,42.0,2023-09-16,Twin room,
326,73.75,2023-09-16,Female dorm,Hostel A
327,300.0,2023-09-16,Studio,Hotel D
328,31.9,2023-09-16,Twin room,Hotel C
329,40.3,2023-09-16,Single room,Hotel C
330,269.0,2023-09-15,Studio,Hotel D
331,55.0,2023-09-15,Female dorm,Hostel A
332,40.0,2023-09-15,Large dorm,Hostel B
333,48.0,2023-09-15,Male dorm,Hostel A
334,53.0,2023-09-15,Single room,
335,40.3,2023-09-15,Single room,Hotel C
336,45.7,2023-09-15,,
337,42.0,2023-09-15,Twin room,
338,31.9,2023-09-15,Twin room,Hotel C
339,34.7,2023-09-15,,Hotel C
340,42.2,2023-09-14,,
341,30.0,2023-09-14,Twin room,Hotel C
342,198.0,2023-09-14,Studio,Hotel D
343,49.0,2023-09-14,Single room,
344,345.0,2023-09-14,Luxury suite,Hotel B
345,325.0,2023-09-14,Family room,Hotel B
346,36.2,2023-09-14,Large dorm,Hostel B
347,40.0,2023-09-14,Female dorm,Hostel A
348,37.8,2023-09-14,Single room,Hotel C
349,36.0,2023-09-14,Male dorm,Hostel A
350,32.6,2023-09-14,,Hotel C
351,38.8,2023-09-14,Twin room,
352,34.0,2023-09-13,Male dorm,Hostel A
353,35.6,2023-09-13,Twin room,
354,30.3,2023-09-13,,Hotel C
355,196.0,2023-09-13,Studio,Hotel D
356,37.5,2023-09-13,Female dorm,Hostel A
357,44.9,2023-09-13,Single room,
358,38.7,2023-09-13,,
359,325.0,2023-09-13,Family room,Hotel B
360,35.1,2023-09-13,Single room,Hotel C
361,345.0,2023-09-13,Luxury suite,Hotel B
362,35.4,2023-09-13,Large dorm,Hostel B
363,27.9,2023-09-13,Twin room,Hotel C
364,27.9,2023-09-12,Twin room,Hotel C
365,35.1,2023-09-12,Single room,Hotel C
366,37.5,2023-09-12,Female dorm,Hostel A
367,30.3,2023-09-12,,Hotel C
368,44.9,2023-09-12,Single room,
369,325.0,2023-09-12,Family room,Hotel B
370,35.6,2023-09-12,Twin room,
371,38.7,2023-09-12,,
372,34.0,2023-09-12,Male dorm,Hostel A
373,184.0,2023-09-12,Studio,Hotel D
374,345.0,2023-09-12,Luxury suite,Hotel B
375,34.7,2023-09-12,Large dorm,Hostel B
376,184.0,2023-09-11,Studio,Hotel D
377,33.9,2023-09-11,Twin room,
378,345.0,2023-09-11,Luxury suite,Hotel B
379,33.9,2023-09-11,Single room,Hotel C
380,42.8,2023-09-11,Single room,
381,26.9,2023-09-11,Twin room,Hotel C
382,37.5,2023-09-11,Female dorm,Hostel A
383,325.0,2023-09-11,Family room,Hotel B
384,34.0,2023-09-11,Male dorm,Hostel A
385,29.2,2023-09-11,,Hotel C
386,34.1,2023-09-11,Large dorm,Hostel B
387,36.9,2023-09-11,,
388,29.2,2023-09-10,,Hotel C
389,324.0,2023-09-10,Family room,Hotel B
390,42.8,2023-09-10,Single room,
391,26.9,2023-09-10,Twin room,Hotel C
392,33.9,2023-09-10,Single room,Hotel C
393,344.0,2023-09-10,Luxury suite,Hotel B
394,30.0,2023-09-10,Male dorm,Hostel A
395,188.0,2023-09-10,Studio,Hotel D
396,33.9,2023-09-10,Twin room,
397,32.5,2023-09-10,Female dorm,Hostel A
398,35.9,2023-09-10,Large dorm,Hostel B
399,36.9,2023-09-10,,
400,40.3,2023-09-09,Single room,Hotel C
401,344.0,2023-09-09,Luxury suite,Hotel B
402,73.75,2023-09-09,Female dorm,Hostel A
403,31.9,2023-09-09,Twin room,Hotel C
404,324.0,2023-09-09,Family room,Hotel B
405,63.0,2023-09-09,Male dorm,Hostel A
406,39.3,2023-09-09,Twin room,
407,300.0,2023-09-09,Studio,Hotel D
408,40.0,2023-09-09,Large dorm,Hostel B
409,34.7,2023-09-09,,Hotel C
410,42.7,2023-09-09,,
411,49.5,2023-09-09,Single room,
412,344.0,2023-09-08,Luxury suite,Hotel B
413,324.0,2023-09-08,Family room,Hotel B
414,49.5,2023-09-08,Single room,
415,55.0,2023-09-08,Female dorm,Hostel A
416,264.0,2023-09-08,Studio,Hotel D
417,40.3,2023-09-08,Single room,Hotel C
418,34.7,2023-09-08,,Hotel C
419,42.7,2023-09-08,,
420,39.3,2023-09-08,Twin room,
421,40.0,2023-09-08,Large dorm,Hostel B
422,31.9,2023-09-08,Twin room,Hotel C
423,48.0,2023-09-08,Male dorm,Hostel A
424,344.0,2023-09-07,Luxury suite,Hotel B
425,30.0,2023-09-07,Twin room,Hotel C
426,45.7,2023-09-07,Single room,
427,37.8,2023-09-07,Single room,Hotel C
428,32.6,2023-09-07,,Hotel C
429,36.0,2023-09-07,Male dorm,Hostel A
430,35.9,2023-09-07,Large dorm,Hostel B
431,324.0,2023-09-07,Family room,Hotel B
432,198.0,2023-09-07,Studio,Hotel D
433,36.2,2023-09-07,Twin room,
434,39.4,2023-09-07,,
435,40.0,2023-09-07,Female dorm,Hostel A
436,37.5,2023-09-06,Female dorm,Hostel A
437,35.4,2023-09-06,Large dorm,Hostel B
438,196.0,2023-09-06,Studio,Hotel D
439,33.2,2023-09-06,Twin room,
440,344.0,2023-09-06,Luxury suite,Hotel B
441,36.1,2023-09-06,,
442,30.3,2023-09-06,,Hotel C
443,27.9,2023-09-06,Twin room,Hotel C
444,34.0,2023-09-06,Male dorm,Hostel A
445,35.1,2023-09-06,Single room,Hotel C
446,324.0,2023-09-06,Family room,Hotel B
447,41.9,2023-09-06,Single room,
448,34.8,2023-09-05,Large dorm,Hostel B
449,30.3,2023-09-05,,Hotel C
450,344.0,2023-09-05,Luxury suite,Hotel B
451,35.1,2023-09-05,Single room,Hotel C
452,37.5,2023-09-05,Female dorm,Hostel A
453,324.0,2023-09-05,Family room,Hotel B
454,34.0,2023-09-05,Male dorm,Hostel A
455,27.9,2023-09-05,Twin room,Hotel C
456,36.1,2023-09-05,,
457,33.2,2023-09-05,Twin room,
458,184.0,2023-09-05,Studio,Hotel D
459,41.9,2023-09-05,Single room,
460,37.5,2023-09-04,Female dorm,Hostel A
461,184.0,2023-09-04,Studio,Hotel D
462,343.0,2023-09-04,Luxury suite,Hotel B
463,34.5,2023-09-04,,
464,31.7,2023-09-04,Twin room,
465,29.2,2023-09-04,,Hotel C
466,34.1,2023-09-04,Large dorm,Hostel B
467,34.0,2023-09-04,Male dorm,Hostel A
468,40.0,2023-09-04,Single room,
469,33.9,2023-09-04,Single room,Hotel C
470,26.9,2023-09-04,Twin room,Hotel C
471,323.0,2023-09-04,Family room,Hotel B
472,34.5,2023-09-03,,
473,35.9,2023-09-03,Large dorm,Hostel B
474,31.7,2023-09-03,Twin room,
475,33.9,2023-09-03,Single room,Hotel C
476,40.0,2023-09-03,Single room,
477,30.0,2023-09-03,Male dorm,Hostel A
478,26.9,2023-09-03,Twin room,Hotel C
479,32.5,2023-09-03,Female dorm,Hostel A
480,188.0,2023-09-03,Studio,Hotel D
481,29.2,2023-09-03,,Hotel C
482,343.0,2023-09-03,Luxury suite,Hotel B
483,323.0,2023-09-03,Family room,Hotel B
484,37.8,2023-09-02,Large dorm,Hostel B
485,39.3,2023-09-02,Twin room,
486,343.0,2023-09-02,Luxury suite,Hotel B
487,73.75,2023-09-02,Female dorm,Hostel A
488,42.7,2023-09-02,,
489,63.0,2023-09-02,Male dorm,Hostel A
490,49.5,2023-09-02,Single room,
491,31.9,2023-09-02,Twin room,Hotel C
492,300.0,2023-09-02,Studio,Hotel D
493,34.7,2023-09-02,,Hotel C
494,323.0,2023-09-02,Family room,Hotel B
495,40.3,2023-09-02,Single room,Hotel C
496,55.0,2023-09-01,Female dorm,Hostel A
497,40.0,2023-09-01,Large dorm,Hostel B
498,323.0,2023-09-01,Family room,Hotel B
499,48.0,2023-09-01,Male dorm,Hostel A
500,31.9,2023-09-01,Twin room,Hotel C
501,34.7,2023-09-01,,Hotel C
502,42.7,2023-09-01,,
503,39.3,2023-09-01,Twin room,
504,260.0,2023-09-01,Studio,Hotel D
505,343.0,2023-09-01,Luxury suite,Hotel B
506,49.5,2023-09-01,Single room,
507,40.3,2023-09-01,Single room,Hotel C
508,45.7,2023-08-31,Single room,
509,40.0,2023-08-31,Female dorm,Hostel A
510,36.0,2023-08-31,Male dorm,Hostel A
511,189.0,2023-08-31,Studio,Hotel D
512,39.4,2023-08-31,,
513,37.8,2023-08-31,Single room,Hotel C
514,32.6,2023-08-31,,Hotel C
515,37.4,2023-08-31,Large dorm,Hostel B
516,36.2,2023-08-31,Twin room,
517,30.0,2023-08-31,Twin room,Hotel C
518,323.0,2023-08-31,Family room,Hotel B
519,343.0,2023-08-31,Luxury suite,Hotel B
520,342.0,2023-08-30,Luxury suite,Hotel B
521,33.2,2023-08-30,Twin room,
522,32.9,2023-08-30,,Hotel C
523,41.9,2023-08-30,Single room,
524,30.3,2023-08-30,Twin room,Hotel C
525,36.1,2023-08-30,,
526,34.0,2023-08-30,Male dorm,Hostel A
527,188.0,2023-08-30,Studio,Hotel D
528,38.2,2023-08-30,Single room,Hotel C
529,36.4,2023-08-30,Large dorm,Hostel B
530,37.5,2023-08-30,Female dorm,Hostel A
531,322.0,2023-08-30,Family room,Hotel B
532,34.0,2023-08-29,Male dorm,Hostel A
533,36.4,2023-08-29,Large dorm,Hostel B
534,322.0,2023-08-29,Family room,Hotel B
535,30.3,2023-08-29,Twin room,Hotel C
536,38.2,2023-08-29,Single room,Hotel C
537,37.5,2023-08-29,Female dorm,Hostel A
538,41.9,2023-08-29,Single room,
539,36.1,2023-08-29,,
540,342.0,2023-08-29,Luxury suite,Hotel B
541,32.9,2023-08-29,,Hotel C
542,33.2,2023-08-29,Twin room,
543,184.0,2023-08-29,Studio,Hotel D
544,28.9,2023-08-28,Large dorm,Hostel B
545,31.8,2023-08-28,,Hotel C
546,36.9,2023-08-28,Single room,Hotel C
547,184.0,2023-08-28,Studio,Hotel D
548,278.0,2023-08-28,Luxury suite,Hotel B
549,34.5,2023-08-28,,
550,48.0,2023-08-28,Male dorm,Hostel A
551,29.3,2023-08-28,Twin room,Hotel C
552,258.0,2023-08-28,Family room,Hotel B
553,55.0,2023-08-28,Female dorm,Hostel A
554,31.7,2023-08-28,Twin room,
555,40.0,2023-08-28,Single room,
556,36.4,2023-08-27,Large dorm,Hostel B
557,40.0,2023-08-27,Single room,
558,246.0,2023-08-27,Family room,Hotel B
559,31.7,2023-08-27,Twin room,
560,300.0,2023-08-27,Studio,Hotel D
561,36.9,2023-08-27,Single room,Hotel C
562,63.0,2023-08-27,Male dorm,Hostel A
563,73.75,2023-08-27,Female dorm,Hostel A
564,29.3,2023-08-27,Twin room,Hotel C
565,266.0,2023-08-27,Luxury suite,Hotel B
566,31.8,2023-08-27,,Hotel C
567,34.5,2023-08-27,,
568,29.6,2023-08-26,,Hotel C
569,34.3,2023-08-26,Single room,Hotel C
570,49.5,2023-08-26,Single room,
571,39.3,2023-08-26,Twin room,
572,86.25,2023-08-26,Female dorm,Hostel A
573,73.0,2023-08-26,Male dorm,Hostel A
574,321.0,2023-08-26,Family room,Hotel B
575,300.0,2023-08-26,Studio,Hotel D
576,40.0,2023-08-26,Large dorm,Hostel B
577,341.0,2023-08-26,Luxury suite,Hotel B
578,27.2,2023-08-26,Twin room,Hotel C
579,42.7,2023-08-26,,
580,55.0,2023-08-25,Female dorm,Hostel A
581,48.0,2023-08-25,Male dorm,Hostel A
582,39.3,2023-08-25,Twin room,
583,29.6,2023-08-25,,Hotel C
584,27.2,2023-08-25,Twin room,Hotel C
585,40.0,2023-08-25,Large dorm,Hostel B
586,42.7,2023-08-25,,
587,34.3,2023-08-25,Single room,Hotel C
588,321.0,2023-08-25,Family room,Hotel B
589,49.5,2023-08-25,Single room,
590,300.0,2023-08-25,Studio,Hotel D
591,341.0,2023-08-25,Luxury suite,Hotel B
592,37.4,2023-08-24,Large dorm,Hostel B
593,36.0,2023-08-24,Male dorm,Hostel A
594,36.2,2023-08-24,Twin room,
595,300.0,2023-08-24,Studio,Hotel D
596,40.0,2023-08-24,Female dorm,Hostel A
597,39.4,2023-08-24,,
598,27.7,2023-08-24,,Hotel C
599,341.0,2023-08-24,Luxury suite,Hotel B
600,45.7,2023-08-24,Single room,
601,321.0,2023-08-24,Family room,Hotel B
602,32.1,2023-08-24,Single room,Hotel C
603,25.5,2023-08-24,Twin room,Hotel C
604,34.0,2023-08-23,Male dorm,Hostel A
605,36.4,2023-08-23,Large dorm,Hostel B
606,184.0,2023-08-23,Studio,Hotel D
607,30.0,2023-08-23,Single room,Hotel C
608,33.2,2023-08-23,Twin room,
609,321.0,2023-08-23,Family room,Hotel B
610,341.0,2023-08-23,Luxury suite,Hotel B
611,25.9,2023-08-23,,Hotel C
612,41.9,2023-08-23,Single room,
613,36.1,2023-08-23,,
614,23.8,2023-08-23,Twin room,Hotel C
615,37.5,2023-08-23,Female dorm,Hostel A
616,25.9,2023-08-22,,Hotel C
617,341.0,2023-08-22,Luxury suite,Hotel B
618,41.9,2023-08-22,Single room,
619,30.0,2023-08-22,Single room,Hotel C
620,34.0,2023-08-22,Male dorm,Hostel A
621,33.2,2023-08-22,Twin room,
622,37.5,2023-08-22,Female dorm,Hostel A
623,321.0,2023-08-22,Family room,Hotel B
624,35.8,2023-08-22,Large dorm,Hostel B
625,184.0,2023-08-22,Studio,Hotel D
626,36.1,2023-08-22,,
627,23.8,2023-08-22,Twin room,Hotel C
628,40.0,2023-08-21,Single room,
629,29.3,2023-08-21,Twin room,Hotel C
630,37.5,2023-08-21,Female dorm,Hostel A
631,31.7,2023-08-21,Twin room,
632,31.8,2023-08-21,,Hotel C
633,35.8,2023-08-21,Large dorm,Hostel B
634,36.9,2023-08-21,Single room,Hotel C
635,34.0,2023-08-21,Male dorm,Hostel A
