Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,later_date,rpm_null,rpm_x_torque,discrete_torque,discrete_air_temp,air_temp_process_temp,wear_squared,year,month,day,dayofweek,hour
298.8,309.1,1368.0,130.6,115.0,0.0,0.0,0.0,178660.8,120.5,297.75,1.034471218206158,13225.0,2001.0,12.0,2.0,6.0,17.0
298.8,309.1,1368.0,49.1,117.0,0.0,0.0,0.0,67168.8,41.85,297.75,1.034471218206158,13689.0,2001.0,12.0,2.0,6.0,18.0
298.8,309.2,1372.0,48.5,120.0,0.0,0.0,0.0,66542.0,41.85,297.75,1.034805890227577,14400.0,2001.0,12.0,2.0,6.0,19.0
298.8,309.1,1472.0,47.5,125.0,0.0,0.0,0.0,69920.0,41.85,297.75,1.034471218206158,15625.0,2001.0,12.0,2.0,6.0,20.0
298.8,309.1,1489.0,49.1,128.0,0.0,0.0,0.0,73109.90000000001,41.85,297.75,1.034471218206158,16384.0,2001.0,12.0,2.0,6.0,21.0
298.7,309.0,1843.0,25.8,130.0,0.0,0.0,0.0,47549.4,41.85,297.75,1.0344827586206897,16900.0,2001.0,12.0,2.0,6.0,22.0
298.8,309.1,1418.0,46.3,133.0,0.0,0.0,0.0,65653.4,41.85,297.75,1.034471218206158,17689.0,2001.0,12.0,2.0,6.0,23.0
282.8,309.2,1425.0,53.9,135.0,0.0,0.0,0.0,76807.5,41.85,283.0,1.0933521923620932,18225.0,2001.0,12.0,3.0,0.0,0.0
298.9,309.2,1412.0,44.1,140.0,0.0,0.0,0.0,62269.200000000004,41.85,297.75,1.0344596855135497,19600.0,2001.0,12.0,3.0,0.0,1.0
298.9,309.1,2861.0,4.6,143.0,1.0,0.0,0.0,13160.599999999999,41.85,297.75,1.0341251254600203,20449.0,2001.0,12.0,3.0,0.0,2.0
298.9,309.1,1383.0,54.9,145.0,0.0,0.0,0.0,75926.7,41.85,297.75,1.0341251254600203,21025.0,2001.0,12.0,3.0,0.0,3.0
298.8,309.0,1497.0,43.8,147.0,0.0,0.0,0.0,65568.59999999999,41.85,297.75,1.034136546184739,21609.0,2001.0,12.0,3.0,0.0,4.0
298.7,309.0,1565.0,35.1,152.0,0.0,0.0,0.0,54931.5,41.85,297.75,1.0344827586206897,23104.0,2001.0,12.0,3.0,0.0,5.0
298.7,309.0,1691.0,30.1,154.0,0.0,0.0,0.0,50899.100000000006,41.85,297.75,1.0344827586206897,23716.0,2001.0,12.0,3.0,0.0,6.0
298.8,309.1,1512.0,40.7,156.0,0.0,0.0,0.0,61538.4,41.85,297.75,1.034471218206158,24336.0,2001.0,12.0,3.0,0.0,7.0
298.8,309.1,1477.0,42.4,158.0,0.0,0.0,0.0,62624.799999999996,41.85,297.75,1.034471218206158,24964.0,2001.0,12.0,3.0,0.0,8.0
298.8,309.1,1513.0,40.3,160.0,0.0,0.0,0.0,60973.899999999994,41.85,297.75,1.034471218206158,25600.0,2001.0,12.0,3.0,0.0,9.0
298.8,309.0,1661.0,29.5,162.0,0.0,0.0,0.0,48999.5,41.85,297.75,1.034136546184739,26244.0,2001.0,12.0,3.0,0.0,10.0
298.8,309.1,1378.0,54.4,165.0,0.0,0.0,0.0,74963.2,41.85,297.75,1.034471218206158,27225.0,2001.0,12.0,3.0,0.0,11.0
298.8,309.1,1393.0,52.6,167.0,0.0,0.0,0.0,73271.8,41.85,297.75,1.034471218206158,27889.0,2001.0,12.0,3.0,0.0,12.0
298.8,309.0,1592.0,38.2,169.0,0.0,0.0,0.0,60814.4,41.85,297.75,1.034136546184739,28561.0,2001.0,12.0,3.0,0.0,13.0
298.8,309.0,1829.0,22.9,172.0,0.0,0.0,0.0,41884.1,41.85,297.75,1.034136546184739,29584.0,2001.0,12.0,3.0,0.0,14.0
298.9,309.0,1812.0,25.9,174.0,0.0,0.0,0.0,46930.799999999996,41.85,297.75,1.0337905654064905,30276.0,2001.0,12.0,3.0,0.0,15.0
283.0,309.1,1523.0,38.6,177.0,0.0,0.0,0.0,58787.8,41.85,283.0,1.092226148409894,31329.0,2001.0,12.0,3.0,0.0,16.0
299.0,309.1,1394.0,45.1,179.0,0.0,0.0,0.0,62869.4,41.85,297.75,1.0337792642140469,32041.0,2001.0,12.0,3.0,0.0,17.0
298.9,308.9,1679.0,28.7,181.0,0.0,0.0,0.0,48187.299999999996,41.85,297.75,1.033456005352961,32761.0,2001.0,12.0,3.0,0.0,18.0
298.8,308.9,1466.0,44.1,184.0,0.0,0.0,0.0,64650.6,41.85,297.75,1.03380187416332,33856.0,2001.0,12.0,3.0,0.0,19.0
298.8,308.9,1527.0,32.4,189.0,0.0,0.0,0.0,49474.799999999996,41.85,297.75,1.03380187416332,35721.0,2001.0,12.0,3.0,0.0,20.0
298.9,309.0,1410.0,65.7,191.0,1.0,0.0,0.0,92637.0,41.85,297.75,1.0337905654064905,36481.0,2001.0,12.0,3.0,0.0,21.0
298.9,309.0,1924.0,22.6,193.0,0.0,0.0,0.0,43482.4,41.85,297.75,1.0337905654064905,37249.0,2001.0,12.0,3.0,0.0,22.0
298.9,309.1,1452.0,45.5,196.0,0.0,0.0,0.0,66066.0,41.85,297.75,1.0341251254600203,38416.0,2001.0,12.0,3.0,0.0,23.0
282.9,309.1,1369.0,44.4,198.0,0.0,0.0,0.0,60783.6,41.85,283.0,1.092612230470131,39204.0,2001.0,12.0,4.0,1.0,0.0
299.0,309.1,1592.0,35.0,200.0,0.0,0.0,0.0,55720.0,41.85,297.75,1.0337792642140469,40000.0,2001.0,12.0,4.0,1.0,1.0
282.9,309.0,1601.0,32.3,202.0,0.0,0.0,0.0,51712.299999999996,41.85,283.0,1.0922587486744433,40804.0,2001.0,12.0,4.0,1.0,2.0
298.8,308.9,1379.0,46.7,204.0,0.0,0.0,0.0,64399.3,41.85,297.75,1.03380187416332,41616.0,2001.0,12.0,4.0,1.0,3.0
298.8,308.9,1461.0,47.9,206.0,0.0,0.0,0.0,69981.9,41.85,297.75,1.03380187416332,42436.0,2001.0,12.0,4.0,1.0,4.0
298.8,308.9,1455.0,41.3,208.0,1.0,0.0,0.0,60091.49999999999,41.85,297.75,1.03380187416332,43264.0,2001.0,12.0,4.0,1.0,5.0
298.8,308.9,1398.0,51.5,0.0,0.0,0.0,0.0,71997.0,41.85,297.75,1.03380187416332,0.0,2001.0,12.0,4.0,1.0,6.0
298.8,308.9,1402.0,37.9,2.0,0.0,0.0,0.0,53135.799999999996,41.85,297.75,1.03380187416332,4.0,2001.0,12.0,4.0,1.0,7.0
298.8,308.8,1445.0,49.9,4.0,0.0,0.0,0.0,72105.5,41.85,297.75,1.033467202141901,16.0,2001.0,12.0,4.0,1.0,8.0
298.9,308.9,1450.0,47.5,9.0,0.0,0.0,0.0,68875.0,41.85,297.75,1.033456005352961,81.0,2001.0,12.0,4.0,1.0,9.0
298.9,308.9,1453.0,40.8,11.0,0.0,0.0,0.0,59282.399999999994,41.85,297.75,1.033456005352961,121.0,2001.0,12.0,4.0,1.0,10.0
283.0,309.0,1469.0,40.1,13.0,0.0,0.0,0.0,58906.9,41.85,283.0,1.0918727915194346,169.0,2001.0,12.0,4.0,1.0,11.0
298.9,308.9,1422.0,47.6,15.0,0.0,0.0,0.0,67687.2,41.85,297.75,1.033456005352961,225.0,2001.0,12.0,4.0,1.0,12.0
299.0,309.0,1804.0,26.8,17.0,0.0,0.0,0.0,48347.200000000004,41.85,297.75,1.0334448160535117,289.0,2001.0,12.0,4.0,1.0,13.0
299.0,309.0,1436.0,43.9,20.0,0.0,0.0,0.0,63040.4,41.85,297.75,1.0334448160535117,400.0,2001.0,12.0,4.0,1.0,14.0
299.0,309.0,1544.0,31.8,25.0,0.0,0.0,0.0,49099.200000000004,41.85,297.75,1.0334448160535117,625.0,2001.0,12.0,4.0,1.0,15.0
299.0,309.0,1419.0,45.2,27.0,0.0,0.0,0.0,64138.8,41.85,297.75,1.0334448160535117,729.0,2001.0,12.0,4.0,1.0,16.0
298.9,308.9,1487.0,39.5,30.0,0.0,1.0,0.0,58736.5,41.85,297.75,1.033456005352961,900.0,2011.0,12.0,4.0,6.0,17.0
282.9,308.9,1753.0,25.8,33.0,0.0,0.0,0.0,45227.4,41.85,283.0,1.0919052668787557,1089.0,2001.0,12.0,4.0,1.0,18.0
298.9,308.9,1830.0,24.9,35.0,0.0,1.0,0.0,45567.0,41.85,297.75,1.033456005352961,1225.0,2011.0,12.0,4.0,6.0,19.0
298.9,308.9,1727.0,27.1,37.0,0.0,0.0,0.0,46801.700000000004,41.85,297.75,1.033456005352961,1369.0,2001.0,12.0,4.0,1.0,20.0
299.1,309.0,1450.0,43.0,40.0,0.0,0.0,0.0,62350.0,41.85,297.75,1.033099297893681,1600.0,2001.0,12.0,4.0,1.0,21.0
299.0,308.9,1622.0,31.9,42.0,0.0,0.0,0.0,51741.799999999996,41.85,297.75,1.0331103678929765,1764.0,2001.0,12.0,4.0,1.0,22.0
299.0,309.0,1351.0,52.2,44.0,0.0,0.0,0.0,70522.2,41.85,297.75,1.0334448160535117,1936.0,2001.0,12.0,4.0,1.0,23.0
299.0,309.0,1575.0,35.3,47.0,0.0,0.0,0.0,55597.49999999999,41.85,297.75,1.0334448160535117,2209.0,2001.0,12.0,5.0,2.0,0.0
298.9,308.9,1750.0,29.9,50.0,0.0,0.0,0.0,52325.0,41.85,297.75,1.033456005352961,2500.0,2001.0,12.0,5.0,2.0,1.0
298.9,308.8,1529.0,32.7,53.0,0.0,0.0,0.0,49998.3,41.85,297.75,1.0331214452994313,2809.0,2001.0,12.0,5.0,2.0,2.0
298.8,308.8,1523.0,44.4,55.0,0.0,0.0,0.0,67621.2,41.85,297.75,1.033467202141901,3025.0,2001.0,12.0,5.0,2.0,3.0
298.8,308.9,1852.0,25.0,57.0,0.0,0.0,0.0,46300.0,41.85,297.75,1.03380187416332,3249.0,2001.0,12.0,5.0,2.0,4.0
298.8,308.8,1991.0,20.7,59.0,0.0,0.0,0.0,41213.7,41.85,297.75,1.033467202141901,3481.0,2001.0,12.0,5.0,2.0,5.0
298.8,308.8,1555.0,40.6,61.0,0.0,0.0,0.0,63133.0,41.85,297.75,1.033467202141901,3721.0,2001.0,12.0,5.0,2.0,6.0
282.8,308.8,1441.0,40.5,63.0,0.0,0.0,0.0,58360.5,41.85,283.0,1.091937765205092,3969.0,2001.0,12.0,5.0,2.0,7.0
298.8,308.7,1450.0,43.4,66.0,0.0,0.0,0.0,62930.0,41.85,297.75,1.033132530120482,4356.0,2001.0,12.0,5.0,2.0,8.0
298.8,308.7,1591.0,31.1,68.0,0.0,0.0,0.0,49480.100000000006,41.85,297.75,1.033132530120482,4624.0,2001.0,12.0,5.0,2.0,9.0
298.8,308.7,1445.0,48.5,70.0,0.0,0.0,0.0,70082.5,41.85,297.75,1.033132530120482,4900.0,2001.0,12.0,5.0,2.0,10.0
298.8,308.8,1497.0,46.8,72.0,0.0,0.0,0.0,70059.59999999999,41.85,297.75,1.033467202141901,5184.0,2001.0,12.0,5.0,2.0,11.0
298.9,308.8,1621.0,32.7,75.0,0.0,0.0,0.0,53006.700000000004,41.85,297.75,1.0331214452994313,5625.0,2001.0,12.0,5.0,2.0,12.0
298.9,308.7,1572.0,34.1,80.0,0.0,0.0,0.0,53605.200000000004,41.85,297.75,1.0327868852459017,6400.0,2001.0,12.0,5.0,2.0,13.0
298.8,308.6,1872.0,22.5,82.0,0.0,0.0,0.0,42120.0,41.85,297.75,1.0327978580990629,6724.0,2001.0,12.0,5.0,2.0,14.0
298.7,308.6,1499.0,123.3,84.0,0.0,0.0,0.0,184826.69999999998,120.5,297.75,1.0331436223635757,7056.0,2001.0,12.0,5.0,2.0,15.0
298.8,308.7,1498.0,39.5,89.0,0.0,0.0,0.0,59171.0,41.85,297.75,1.033132530120482,7921.0,2001.0,12.0,5.0,2.0,16.0
298.8,308.6,1486.0,41.9,92.0,0.0,0.0,0.0,62263.4,41.85,297.75,1.0327978580990629,8464.0,2001.0,12.0,5.0,2.0,17.0
298.8,308.6,1680.0,109.2,95.0,0.0,0.0,0.0,183456.0,120.5,297.75,1.0327978580990629,9025.0,2001.0,12.0,5.0,2.0,18.0
298.8,308.6,1431.0,45.7,97.0,0.0,0.0,0.0,65396.700000000004,41.85,297.75,1.0327978580990629,9409.0,2001.0,12.0,5.0,2.0,19.0
298.9,308.7,1564.0,34.1,99.0,0.0,0.0,0.0,53332.4,41.85,297.75,1.0327868852459017,9801.0,2001.0,12.0,5.0,2.0,20.0
298.8,308.6,1599.0,33.0,101.0,0.0,0.0,0.0,52767.0,41.85,297.75,1.0327978580990629,10201.0,2001.0,12.0,5.0,2.0,21.0
298.8,308.6,1707.0,28.1,103.0,0.0,0.0,0.0,47966.700000000004,41.85,297.75,1.0327978580990629,10609.0,2001.0,12.0,5.0,2.0,22.0
298.7,308.5,1467.0,40.7,106.0,0.0,0.0,0.0,59706.9,41.85,297.75,1.032808838299297,11236.0,2001.0,12.0,5.0,2.0,23.0
298.9,308.7,1433.0,44.7,108.0,0.0,0.0,0.0,64055.100000000006,41.85,297.75,1.0327868852459017,11664.0,2001.0,12.0,6.0,3.0,0.0
298.9,308.7,1558.0,41.2,110.0,0.0,0.0,0.0,64189.600000000006,41.85,297.75,1.0327868852459017,12100.0,2001.0,12.0,6.0,3.0,1.0
299.0,308.8,1310.0,50.7,112.0,0.0,0.0,0.0,66417.0,41.85,297.75,1.0327759197324415,12544.0,2001.0,12.0,6.0,3.0,2.0
298.9,308.7,1546.0,43.4,114.0,0.0,0.0,0.0,67096.4,41.85,297.75,1.0327868852459017,12996.0,2001.0,12.0,6.0,3.0,3.0
298.9,308.7,1727.0,29.4,116.0,0.0,0.0,0.0,50773.799999999996,41.85,297.75,1.0327868852459017,13456.0,2001.0,12.0,6.0,3.0,4.0
298.9,308.6,1560.0,32.2,118.0,0.0,0.0,0.0,50232.00000000001,41.85,297.75,1.0324523251923723,13924.0,2001.0,12.0,6.0,3.0,5.0
299.0,308.6,1329.0,60.5,120.0,0.0,0.0,0.0,80404.5,41.85,297.75,1.0321070234113714,14400.0,2001.0,12.0,6.0,3.0,6.0
298.9,308.6,1413.0,46.5,122.0,0.0,0.0,0.0,65704.5,41.85,297.75,1.0324523251923723,14884.0,2001.0,12.0,6.0,3.0,7.0
299.0,308.6,1587.0,38.6,124.0,0.0,0.0,0.0,61258.200000000004,41.85,297.75,1.0321070234113714,15376.0,2001.0,12.0,6.0,3.0,8.0
298.9,308.5,1559.0,34.3,126.0,0.0,0.0,0.0,53473.7,41.85,297.75,1.0321177651388425,15876.0,2001.0,12.0,6.0,3.0,9.0
298.8,308.4,1473.0,41.1,128.0,0.0,0.0,0.0,60540.3,41.85,297.75,1.0321285140562249,16384.0,2001.0,12.0,6.0,3.0,10.0
298.8,308.4,1737.0,27.7,130.0,0.0,0.0,0.0,48114.9,41.85,297.75,1.0321285140562249,16900.0,2001.0,12.0,6.0,3.0,11.0
282.7,308.4,1441.0,43.2,132.0,0.0,1.0,0.0,62251.200000000004,41.85,283.0,1.0909090909090908,17424.0,2011.0,12.0,6.0,1.0,12.0
298.7,308.4,1430.0,49.6,135.0,0.0,0.0,0.0,70928.0,41.85,297.75,1.0324740542350184,18225.0,2001.0,12.0,6.0,3.0,13.0
298.8,308.4,1369.0,53.0,138.0,0.0,0.0,0.0,72557.0,41.85,297.75,1.0321285140562249,19044.0,2001.0,12.0,6.0,3.0,14.0
298.8,308.5,1711.0,108.3,140.0,0.0,0.0,0.0,185301.3,120.5,297.75,1.0324631860776439,19600.0,2001.0,12.0,6.0,3.0,15.0
298.7,308.5,1420.0,45.7,143.0,0.0,0.0,0.0,64894.00000000001,41.85,297.75,1.032808838299297,20449.0,2001.0,12.0,6.0,3.0,16.0
298.7,308.6,1297.0,55.3,148.0,0.0,0.0,0.0,71724.09999999999,41.85,297.75,1.0331436223635757,21904.0,2001.0,12.0,6.0,3.0,17.0
298.8,308.6,1449.0,49.4,150.0,0.0,0.0,0.0,71580.59999999999,41.85,297.75,1.0327978580990629,22500.0,2001.0,12.0,6.0,3.0,18.0
298.8,308.6,1268.0,55.8,155.0,0.0,0.0,0.0,70754.4,41.85,297.75,1.0327978580990629,24025.0,2001.0,12.0,6.0,3.0,19.0
298.8,308.6,1511.0,36.1,157.0,0.0,0.0,0.0,54547.1,41.85,297.75,1.0327978580990629,24649.0,2001.0,12.0,6.0,3.0,20.0
298.7,308.5,1544.0,35.2,159.0,0.0,0.0,0.0,54348.8,41.85,297.75,1.032808838299297,25281.0,2001.0,12.0,6.0,3.0,21.0
298.6,308.4,1778.0,28.2,161.0,0.0,0.0,0.0,50139.6,41.85,297.75,1.0328198258539851,25921.0,2001.0,12.0,6.0,3.0,22.0
298.6,308.4,1407.0,50.5,164.0,0.0,0.0,0.0,71053.5,41.85,297.75,1.0328198258539851,26896.0,2001.0,12.0,6.0,3.0,23.0
298.6,308.4,1391.0,42.4,169.0,0.0,0.0,0.0,58978.4,41.85,297.75,1.0328198258539851,28561.0,2001.0,12.0,7.0,4.0,0.0
298.5,308.4,1513.0,33.6,172.0,0.0,0.0,0.0,50836.8,41.85,297.75,1.0331658291457286,29584.0,2001.0,12.0,7.0,4.0,1.0
298.5,308.4,1612.0,36.1,174.0,0.0,0.0,0.0,58193.200000000004,41.85,297.75,1.0331658291457286,30276.0,2001.0,12.0,7.0,4.0,2.0
298.4,308.4,1515.0,40.1,179.0,0.0,0.0,0.0,60751.5,41.85,297.75,1.0335120643431635,32041.0,2001.0,12.0,7.0,4.0,3.0
298.3,308.3,1379.0,48.0,181.0,0.0,0.0,0.0,66192.0,41.85,297.75,1.0335232986925913,32761.0,2001.0,12.0,7.0,4.0,4.0
298.4,308.3,1473.0,39.9,184.0,0.0,0.0,0.0,58772.7,41.85,297.75,1.033176943699732,33856.0,2001.0,12.0,7.0,4.0,5.0
298.4,308.3,1422.0,42.7,186.0,0.0,0.0,0.0,60719.4,41.85,297.75,1.033176943699732,34596.0,2001.0,12.0,7.0,4.0,6.0
298.4,308.2,1463.0,37.6,188.0,0.0,0.0,0.0,55008.8,41.85,297.75,1.0328418230563003,35344.0,2001.0,12.0,7.0,4.0,7.0
298.4,308.2,1584.0,41.0,191.0,0.0,0.0,0.0,64944.0,41.85,297.75,1.0328418230563003,36481.0,2001.0,12.0,7.0,4.0,8.0
298.4,308.2,1850.0,27.0,194.0,0.0,0.0,0.0,49950.0,41.85,297.75,1.0328418230563003,37636.0,2001.0,12.0,7.0,4.0,9.0
298.4,308.2,1528.0,36.2,196.0,0.0,0.0,0.0,55313.600000000006,41.85,297.75,1.0328418230563003,38416.0,2001.0,12.0,7.0,4.0,10.0
298.4,308.2,1987.0,19.8,198.0,0.0,0.0,0.0,39342.6,41.85,297.75,1.0328418230563003,39204.0,2001.0,12.0,7.0,4.0,11.0
298.4,308.1,1495.0,46.0,203.0,0.0,0.0,0.0,68770.0,41.85,297.75,1.0325067024128687,41209.0,2001.0,12.0,7.0,4.0,12.0
298.4,308.2,1478.0,43.5,206.0,0.0,0.0,0.0,64293.0,41.85,297.75,1.0328418230563003,42436.0,2001.0,12.0,7.0,4.0,13.0
298.4,308.2,1499.0,40.0,211.0,0.0,0.0,0.0,59960.0,41.85,297.75,1.0328418230563003,44521.0,2001.0,12.0,7.0,4.0,14.0
282.4,308.2,1471.0,47.0,214.0,0.0,0.0,0.0,69137.0,41.85,283.0,1.091359773371105,45796.0,2001.0,12.0,7.0,4.0,15.0
298.4,308.2,1282.0,60.7,216.0,1.0,0.0,0.0,77817.40000000001,41.85,297.75,1.0328418230563003,46656.0,2001.0,12.0,7.0,4.0,16.0
298.3,308.1,1412.0,52.3,218.0,1.0,0.0,0.0,73847.59999999999,41.85,297.75,1.0328528327187396,47524.0,2001.0,12.0,7.0,4.0,17.0
298.3,308.1,1586.0,35.5,0.0,0.0,0.0,0.0,56303.0,41.85,297.75,1.0328528327187396,0.0,2001.0,12.0,7.0,4.0,18.0
298.4,308.2,1468.0,43.8,2.0,0.0,1.0,0.0,64298.399999999994,41.85,297.75,1.0328418230563003,4.0,2011.0,12.0,7.0,2.0,19.0
282.5,308.3,1440.0,43.6,5.0,0.0,0.0,0.0,62784.0,41.85,283.0,1.0913274336283185,25.0,2001.0,12.0,7.0,4.0,20.0
298.5,308.4,1733.0,26.0,8.0,0.0,0.0,0.0,45058.0,41.85,297.75,1.0331658291457286,64.0,2001.0,12.0,7.0,4.0,21.0
298.4,308.2,1612.0,32.6,10.0,0.0,0.0,0.0,52551.200000000004,41.85,297.75,1.0328418230563003,100.0,2001.0,12.0,7.0,4.0,22.0
298.4,308.3,1458.0,42.9,15.0,0.0,0.0,0.0,62548.2,41.85,297.75,1.033176943699732,225.0,2001.0,12.0,7.0,4.0,23.0
298.4,308.3,1433.0,142.1,20.0,1.0,0.0,0.0,203629.3,120.5,297.75,1.033176943699732,400.0,2001.0,12.0,8.0,5.0,0.0
