UID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp,later_date,Error,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,rpm_null
M14921,298.8,309.0,1592.0,38.2,169,0,No Failure,2001-12-03 13:00:00,False,0,0,1,0,0,0,0,False
L47242,298.8,309.0,1829.0,22.9,172,0,No Failure,2001-12-03 14:00:00,False,0,0,1,0,0,0,0,False
M14923,298.9,309.0,1812.0,25.9,174,0,No Failure,2001-12-03 15:00:00,False,0,0,1,0,0,0,0,False
L47244,283.0,309.1,1523.0,38.6,177,0,No Failure,2001-12-03 16:00:00,False,0,0,1,0,0,0,0,False
L47245,299.0,309.1,1394.0,45.1,179,0,No Failure,2001-12-03 17:00:00,False,0,0,1,0,0,0,0,False
M14926,298.9,308.9,1679.0,28.7,181,0,No Failure,2001-12-03 18:00:00,False,0,0,1,0,0,0,0,False
H29481,298.8,308.9,1466.0,44.1,184,0,No Failure,2001-12-03 19:00:00,False,0,0,1,0,0,0,0,False
L47248,298.8,308.9,1527.0,32.4,189,0,No Failure,2001-12-03 20:00:00,False,0,0,1,0,0,0,0,False
L47249,298.9,309.0,1410.0,65.7,191,1,Power Failure,2001-12-03 21:00:00,False,0,0,0,0,1,0,0,False
M14930,298.9,309.0,1924.0,22.6,193,0,No Failure,2001-12-03 22:00:00,False,0,0,1,0,0,0,0,False
L47251,298.9,309.1,1452.0,45.5,196,0,Error,2001-12-03 23:00:00,False,1,0,0,0,0,0,0,False
L47252,282.9,309.1,1369.0,44.4,198,0,No Failure,2001-12-04 00:00:00,False,0,0,1,0,0,0,0,False
L47253,299.0,309.1,1592.0,35.0,200,0,No Failure,2001-12-04 01:00:00,False,0,0,1,0,0,0,0,False
L47254,282.9,309.0,1601.0,32.3,202,0,No Failure,2001-12-04 02:00:00,False,0,0,1,0,0,0,0,False
L47255,298.8,308.9,1379.0,46.7,204,0,No Failure,2001-12-04 03:00:00,False,0,0,1,0,0,0,0,False
L47256,298.8,308.9,1461.0,47.9,206,0,No Failure,2001-12-04 04:00:00,False,0,0,1,0,0,0,0,False
L47257,298.8,308.9,1455.0,41.3,208,1,Tool Wear Failure,2001-12-04 05:00:00,False,0,0,0,0,0,0,1,False
L47258,298.8,308.9,1398.0,51.5,0,0,No Failure,2001-12-04 06:00:00,False,0,0,1,0,0,0,0,False
L47259,298.8,308.9,1402.0,37.9,2,0,No Failure,2001-12-04 07:00:00,False,0,0,1,0,0,0,0,False
H29494,298.8,308.8,1445.0,49.9,4,0,No Failure,2001-12-04 08:00:00,False,0,0,1,0,0,0,0,False
L47261,298.9,308.9,1450.0,47.5,9,0,No Failure,2001-12-04 09:00:00,False,0,0,1,0,0,0,0,False
L47262,298.9,308.9,1453.0,40.8,11,0,No Failure,2001-12-04 10:00:00,False,0,0,1,0,0,0,0,False
L47263,283.0,309.0,1469.0,40.1,13,0,No Failure,2001-12-04 11:00:00,False,0,0,1,0,0,0,0,False
L47264,298.9,308.9,1422.0,47.6,15,0,No Failure,2001-12-04 12:00:00,False,0,0,1,0,0,0,0,False
M14945,299.0,309.0,1804.0,26.8,17,0,No Failure,2001-12-04 13:00:00,False,0,0,1,0,0,0,0,False
H29500,299.0,309.0,1436.0,43.9,20,0,No Failure,2001-12-04 14:00:00,False,0,0,1,0,0,0,0,False
L47267,299.0,309.0,1544.0,31.8,25,0,No Failure,2001-12-04 15:00:00,False,0,0,1,0,0,0,0,False
M14948,299.0,309.0,1419.0,45.2,27,0,No Failure,2001-12-04 16:00:00,False,0,0,1,0,0,0,0,False
M14949,298.9,308.9,1487.0,39.5,30,0,No Failure,2011-12-04 17:00:00,True,0,0,1,0,0,0,0,False
L47270,282.9,308.9,1753.0,25.8,33,0,No Failure,2001-12-04 18:00:00,False,0,0,1,0,0,0,0,False
L47271,298.9,308.9,1830.0,24.9,35,0,No Failure,2011-12-04 19:00:00,True,0,0,1,0,0,0,0,False
M14952,298.9,308.9,1727.0,27.1,37,0,No Failure,2001-12-04 20:00:00,False,0,0,1,0,0,0,0,False
L47273,299.1,309.0,1450.0,43.0,40,0,No Failure,2001-12-04 21:00:00,False,0,0,1,0,0,0,0,False
L47274,299.0,308.9,1622.0,31.9,42,0,No Failure,2001-12-04 22:00:00,False,0,0,1,0,0,0,0,False
M14955,299.0,309.0,1351.0,52.2,44,0,No Failure,2001-12-04 23:00:00,False,0,0,1,0,0,0,0,False
M14956,299.0,309.0,1575.0,35.3,47,0,No Failure,2001-12-05 00:00:00,False,0,0,1,0,0,0,0,False
M14957,298.9,308.9,1750.0,29.9,50,0,No Failure,2001-12-05 01:00:00,False,0,0,1,0,0,0,0,False
L47278,298.9,308.8,1529.0,32.7,53,0,No Failure,2001-12-05 02:00:00,False,0,0,1,0,0,0,0,False
L47279,298.8,308.8,1523.0,44.4,55,0,No Failure,2001-12-05 03:00:00,False,0,0,1,0,0,0,0,False
L47280,298.8,308.9,1852.0,25.0,57,0,No Failure,2001-12-05 04:00:00,False,0,0,1,0,0,0,0,False
L47281,298.8,308.8,1991.0,20.7,59,0,No Failure,2001-12-05 05:00:00,False,0,0,1,0,0,0,0,False
L47282,298.8,308.8,1555.0,40.6,61,0,No Failure,2001-12-05 06:00:00,False,0,0,1,0,0,0,0,False
M14963,282.8,308.8,1441.0,40.5,63,0,No Failure,2001-12-05 07:00:00,False,0,0,1,0,0,0,0,False
L47284,298.8,308.7,1450.0,43.4,66,0,No Failure,2001-12-05 08:00:00,False,0,0,1,0,0,0,0,False
L47285,298.8,308.7,1591.0,31.1,68,0,No Failure,2001-12-05 09:00:00,False,0,0,1,0,0,0,0,False
L47286,298.8,308.7,1445.0,48.5,70,0,No Failure,2001-12-05 10:00:00,False,0,0,1,0,0,0,0,False
M14967,298.8,308.8,1497.0,46.8,72,0,No Failure,2001-12-05 11:00:00,False,0,0,1,0,0,0,0,False
H29522,298.9,308.8,1621.0,32.7,75,0,No Failure,2001-12-05 12:00:00,False,0,0,1,0,0,0,0,False
L47289,298.9,308.7,1572.0,34.1,80,0,No Failure,2001-12-05 13:00:00,False,0,0,1,0,0,0,0,False
L47290,298.8,308.6,1872.0,22.5,82,0,No Failure,2001-12-05 14:00:00,False,0,0,1,0,0,0,0,False
H29525,298.7,308.6,1499.0,123.3,84,0,No Failure,2001-12-05 15:00:00,False,0,0,1,0,0,0,0,False
M14972,298.8,308.7,1498.0,39.5,89,0,No Failure,2001-12-05 16:00:00,False,0,0,1,0,0,0,0,False
M14973,298.8,308.6,1486.0,41.9,92,0,No Failure,2001-12-05 17:00:00,False,0,0,1,0,0,0,0,False
L47294,298.8,308.6,1680.0,109.2,95,0,No Failure,2001-12-05 18:00:00,False,0,0,1,0,0,0,0,False
L47295,298.8,308.6,1431.0,45.7,97,0,No Failure,2001-12-05 19:00:00,False,0,0,1,0,0,0,0,False
L47296,298.9,308.7,1564.0,34.1,99,0,No Failure,2001-12-05 20:00:00,False,0,0,1,0,0,0,0,False
L47297,298.8,308.6,1599.0,33.0,101,0,No Failure,2001-12-05 21:00:00,False,0,0,1,0,0,0,0,False
M14978,298.8,308.6,1707.0,28.1,103,0,No Failure,2001-12-05 22:00:00,False,0,0,1,0,0,0,0,False
L47299,298.7,308.5,1467.0,40.7,106,0,No Failure,2001-12-05 23:00:00,False,0,0,1,0,0,0,0,False
L47300,298.9,308.7,1433.0,44.7,108,0,No Failure,2001-12-06 00:00:00,False,0,0,1,0,0,0,0,False
L47301,298.9,308.7,1558.0,41.2,110,0,No Failure,2001-12-06 01:00:00,False,0,0,1,0,0,0,0,False
L47302,299.0,308.8,1310.0,50.7,112,0,No Failure,2001-12-06 02:00:00,False,0,0,1,0,0,0,0,False
L47303,298.9,308.7,1546.0,43.4,114,0,No Failure,2001-12-06 03:00:00,False,0,0,1,0,0,0,0,False
L47304,298.9,308.7,1727.0,29.4,116,0,No Failure,2001-12-06 04:00:00,False,0,0,1,0,0,0,0,False
L47305,298.9,308.6,1560.0,32.2,118,0,No Failure,2001-12-06 05:00:00,False,0,0,1,0,0,0,0,False
L47306,299.0,308.6,1329.0,60.5,120,0,No Failure,2001-12-06 06:00:00,False,0,0,1,0,0,0,0,False
L47307,298.9,308.6,1413.0,46.5,122,0,No Failure,2001-12-06 07:00:00,False,0,0,1,0,0,0,0,False
L47308,299.0,308.6,1587.0,38.6,124,0,No Failure,2001-12-06 08:00:00,False,0,0,1,0,0,0,0,False
L47309,298.9,308.5,1559.0,34.3,126,0,No Failure,2001-12-06 09:00:00,False,0,0,1,0,0,0,0,False
L47310,298.8,308.4,1473.0,41.1,128,0,No Failure,2001-12-06 10:00:00,False,0,0,1,0,0,0,0,False
L47311,298.8,308.4,1737.0,27.7,130,0,No Failure,2001-12-06 11:00:00,False,0,0,1,0,0,0,0,False
M14992,282.7,308.4,1441.0,43.2,132,0,No Failure,2011-12-06 12:00:00,True,0,0,1,0,0,0,0,False
M14993,298.7,308.4,1430.0,49.6,135,0,No Failure,2001-12-06 13:00:00,False,0,0,1,0,0,0,0,False
L47314,298.8,308.4,1369.0,53.0,138,0,No Failure,2001-12-06 14:00:00,False,0,0,1,0,0,0,0,False
M14995,298.8,308.5,1711.0,108.3,140,0,No Failure,2001-12-06 15:00:00,False,0,0,1,0,0,0,0,False
H29550,298.7,308.5,1420.0,45.7,143,0,No Failure,2001-12-06 16:00:00,False,0,0,1,0,0,0,0,False
L47317,298.7,308.6,1297.0,55.3,148,0,No Failure,2001-12-06 17:00:00,False,0,0,1,0,0,0,0,False
H29552,298.8,308.6,1449.0,49.4,150,0,No Failure,2001-12-06 18:00:00,False,0,0,1,0,0,0,0,False
L47319,298.8,308.6,1268.0,55.8,155,0,No Failure,2001-12-06 19:00:00,False,0,0,1,0,0,0,0,False
L47320,298.8,308.6,1511.0,36.1,157,0,No Failure,2001-12-06 20:00:00,False,0,0,1,0,0,0,0,False
L47321,298.7,308.5,1544.0,35.2,159,0,No Failure,2001-12-06 21:00:00,False,0,0,1,0,0,0,0,False
M15002,298.6,308.4,1778.0,28.2,161,0,Error,2001-12-06 22:00:00,False,1,0,0,0,0,0,0,False
H29557,298.6,308.4,1407.0,50.5,164,0,No Failure,2001-12-06 23:00:00,False,0,0,1,0,0,0,0,False
M15004,298.6,308.4,1391.0,42.4,169,0,No Failure,2001-12-07 00:00:00,False,0,0,1,0,0,0,0,False
L47325,298.5,308.4,1513.0,33.6,172,0,No Failure,2001-12-07 01:00:00,False,0,0,1,0,0,0,0,False
H29560,298.5,308.4,1612.0,36.1,174,0,No Failure,2001-12-07 02:00:00,False,0,0,1,0,0,0,0,False
L47327,298.4,308.4,1515.0,40.1,179,0,No Failure,2001-12-07 03:00:00,False,0,0,1,0,0,0,0,False
M15008,298.3,308.3,1379.0,48.0,181,0,No Failure,2001-12-07 04:00:00,False,0,0,1,0,0,0,0,False
L47329,298.4,308.3,1473.0,39.9,184,0,No Failure,2001-12-07 05:00:00,False,0,0,1,0,0,0,0,False
L47330,298.4,308.3,1422.0,42.7,186,0,No Failure,2001-12-07 06:00:00,False,0,0,1,0,0,0,0,False
M15011,298.4,308.2,1463.0,37.6,188,0,No Failure,2001-12-07 07:00:00,False,0,0,1,0,0,0,0,False
M15012,298.4,308.2,1584.0,41.0,191,0,No Failure,2001-12-07 08:00:00,False,0,0,1,0,0,0,0,False
L47333,298.4,308.2,1850.0,27.0,194,0,No Failure,2001-12-07 09:00:00,False,0,0,1,0,0,0,0,False
L47334,298.4,308.2,1528.0,36.2,196,0,No Failure,2001-12-07 10:00:00,False,0,0,1,0,0,0,0,False
H29569,298.4,308.2,1987.0,19.8,198,0,No Failure,2001-12-07 11:00:00,False,0,0,1,0,0,0,0,False
M15016,298.4,308.1,1495.0,46.0,203,0,No Failure,2001-12-07 12:00:00,False,0,0,1,0,0,0,0,False
H29571,298.4,308.2,1478.0,43.5,206,0,No Failure,2001-12-07 13:00:00,False,0,0,1,0,0,0,0,False
M15018,298.4,308.2,1499.0,40.0,211,0,No Failure,2001-12-07 14:00:00,False,0,0,1,0,0,0,0,False
L47339,282.4,308.2,1471.0,47.0,214,0,No Failure,2001-12-07 15:00:00,False,0,0,1,0,0,0,0,False
L47340,298.4,308.2,1282.0,60.7,216,1,Overstrain Failure,2001-12-07 16:00:00,False,0,0,0,1,0,0,0,False
L47341,298.3,308.1,1412.0,52.3,218,1,Overstrain Failure,2001-12-07 17:00:00,False,0,0,0,1,0,0,0,False
L47342,298.3,308.1,1586.0,35.5,0,0,No Failure,2001-12-07 18:00:00,False,0,0,1,0,0,0,0,False
M15023,298.4,308.2,1468.0,43.8,2,0,No Failure,2011-12-07 19:00:00,True,0,0,1,0,0,0,0,False
M15024,282.5,308.3,1440.0,43.6,5,0,No Failure,2001-12-07 20:00:00,False,0,0,1,0,0,0,0,False
L47345,298.5,308.4,1733.0,26.0,8,0,No Failure,2001-12-07 21:00:00,False,0,0,1,0,0,0,0,False
H29580,298.4,308.2,1612.0,32.6,10,0,No Failure,2001-12-07 22:00:00,False,0,0,1,0,0,0,0,False
H29581,298.4,308.3,1458.0,42.9,15,0,No Failure,2001-12-07 23:00:00,False,0,0,1,0,0,0,0,False
L47348,298.4,308.3,1433.0,142.1,20,1,Power Failure,2001-12-08 00:00:00,False,0,0,0,0,1,0,0,False
L47349,298.4,308.3,1318.0,59.1,22,0,No Failure,2001-12-08 01:00:00,False,0,0,1,0,0,0,0,False
M15030,298.4,308.2,1610.0,35.0,24,0,No Failure,2001-12-08 02:00:00,False,0,0,1,0,0,0,0,False
L47351,282.2,308.1,1462.0,50.8,27,0,No Failure,2001-12-08 03:00:00,False,0,0,1,0,0,0,0,False
M15032,298.1,308.0,1924.0,20.8,29,0,No Failure,2001-12-08 04:00:00,False,0,0,1,0,0,0,0,False
M15033,298.2,308.0,1591.0,33.7,32,0,No Failure,2001-12-08 05:00:00,False,0,0,1,0,0,0,0,False
L47354,298.2,308.1,1306.0,58.3,35,0,No Failure,2001-12-08 06:00:00,False,0,0,1,0,0,0,0,False
L47355,298.2,308.1,1382.0,43.5,37,0,No Failure,2001-12-08 07:00:00,False,0,0,1,0,0,0,0,False
L47356,298.2,308.1,1618.0,34.7,39,0,No Failure,2001-12-08 08:00:00,False,0,0,1,0,0,0,0,False
L47357,298.2,308.2,1988.0,21.4,41,0,No Failure,2001-12-08 09:00:00,False,0,0,1,0,0,0,0,False
L47358,298.2,308.2,1436.0,50.2,43,0,No Failure,2001-12-08 10:00:00,False,0,0,1,0,0,0,0,False
L47359,298.2,308.3,1304.0,129.6,45,0,No Failure,2001-12-08 11:00:00,False,0,0,1,0,0,0,0,False
L47360,298.2,308.3,1475.0,49.9,47,0,No Failure,2001-12-08 12:00:00,False,0,0,1,0,0,0,0,False
H29595,298.2,308.3,1824.0,24.2,49,0,No Failure,2011-12-08 13:00:00,True,0,0,1,0,0,0,0,False
M15042,298.1,308.2,1342.0,207.7,54,0,No Failure,2001-12-08 14:00:00,False,0,0,1,0,0,0,0,False
L47363,298.1,308.2,1485.0,40.7,57,0,No Failure,2001-12-08 15:00:00,False,0,0,1,0,0,0,0,False
L47364,298.2,308.2,1667.0,30.6,59,0,No Failure,2001-12-08 16:00:00,False,0,0,1,0,0,0,0,False
L47365,298.2,308.2,1446.0,38.2,61,0,No Failure,2001-12-08 17:00:00,False,0,0,1,0,0,0,0,False
L47366,298.1,308.3,,56.0,63,0,No Failure,2001-12-08 18:00:00,False,0,0,1,0,0,0,0,True
L47367,298.2,308.4,1379.0,43.1,65,0,No Failure,2001-12-08 19:00:00,False,0,0,1,0,0,0,0,False
L47368,298.3,308.5,1606.0,113.4,67,0,No Failure,2001-12-08 20:00:00,False,0,0,1,0,0,0,0,False
M15049,298.3,308.4,1539.0,43.4,69,0,No Failure,2001-12-08 21:00:00,False,0,0,1,0,0,0,0,False
L47370,298.2,308.4,1477.0,49.9,72,0,No Failure,2001-12-08 22:00:00,False,0,0,1,0,0,0,0,False
L47371,298.2,308.4,1666.0,34.6,74,0,No Failure,2001-12-08 23:00:00,False,0,0,1,0,0,0,0,False
H29606,298.2,308.4,1398.0,51.8,76,0,No Failure,2001-12-09 00:00:00,False,0,0,1,0,0,0,0,False
H29607,298.2,308.4,1678.0,34.6,81,0,No Failure,2001-12-09 01:00:00,False,0,0,1,0,0,0,0,False
M15054,298.2,308.5,2678.0,10.7,86,1,Power Failure,2001-12-09 02:00:00,False,0,0,0,0,1,0,0,False
L47375,298.3,308.5,1453.0,42.9,89,0,No Failure,2001-12-09 03:00:00,False,0,0,1,0,0,0,0,False
H29610,298.3,308.6,1432.0,49.5,91,0,No Failure,2001-12-09 04:00:00,False,0,0,1,0,0,0,0,False
M15057,298.4,308.6,1527.0,40.9,96,0,No Failure,2001-12-09 05:00:00,False,0,0,1,0,0,0,0,False
L47378,298.4,308.7,1588.0,35.0,99,0,No Failure,2001-12-09 06:00:00,False,0,0,1,0,0,0,0,False
L47379,298.4,308.6,1433.0,47.1,101,0,No Failure,2001-12-09 07:00:00,False,0,0,1,0,0,0,0,False
L47380,298.4,308.6,1609.0,35.0,103,0,No Failure,2001-12-09 08:00:00,False,0,0,1,0,0,0,0,False
L47381,298.3,308.5,1575.0,41.2,105,0,No Failure,2001-12-09 09:00:00,False,0,0,1,0,0,0,0,False
M15062,298.4,308.5,1636.0,35.7,107,0,No Failure,2001-12-09 10:00:00,False,0,0,1,0,0,0,0,False
L47383,298.4,308.5,1490.0,37.9,110,0,No Failure,2001-12-09 11:00:00,False,0,0,1,0,0,0,0,False
L47384,298.4,308.5,1741.0,32.8,112,0,No Failure,2001-12-09 12:00:00,False,0,0,1,0,0,0,0,False
M15065,298.5,308.6,1344.0,53.0,114,0,No Failure,2001-12-09 13:00:00,False,0,0,1,0,0,0,0,False
L47386,298.5,308.7,1609.0,35.3,117,0,No Failure,2001-12-09 14:00:00,False,0,0,1,0,0,0,0,False
M15067,298.4,308.7,1421.0,60.7,119,1,Power Failure,2001-12-09 15:00:00,False,0,0,0,0,1,0,0,False
L47388,298.4,308.6,1591.0,36.7,122,0,No Failure,2001-12-09 16:00:00,False,0,0,1,0,0,0,0,False
L47389,298.4,308.6,1477.0,44.0,124,0,No Failure,2001-12-09 17:00:00,False,0,0,1,0,0,0,0,False
L47390,298.4,308.7,1523.0,36.1,126,0,No Failure,2001-12-09 18:00:00,False,0,0,1,0,0,0,0,False
L47391,298.5,308.7,1575.0,33.9,128,0,No Failure,2001-12-09 19:00:00,False,0,0,1,0,0,0,0,False
H29626,298.4,308.7,1344.0,52.9,130,0,No Failure,2001-12-09 20:00:00,False,0,0,1,0,0,0,0,False
L47393,298.4,308.7,1386.0,44.9,135,0,No Failure,2001-12-09 21:00:00,False,0,0,1,0,0,0,0,False
M15074,298.3,308.6,1589.0,37.1,137,0,No Failure,2001-12-09 22:00:00,False,0,0,1,0,0,0,0,False
L47395,298.3,308.6,1548.0,40.3,140,0,No Failure,2001-12-09 23:00:00,False,0,0,1,0,0,0,0,False
L47396,298.3,308.6,1499.0,38.3,142,0,Error,2001-12-10 00:00:00,False,1,0,0,0,0,0,0,False
L47397,298.3,308.5,1664.0,31.6,144,0,No Failure,2001-12-10 01:00:00,False,0,0,1,0,0,0,0,False
L47398,298.3,308.6,1447.0,117.9,146,0,No Failure,2001-12-10 02:00:00,False,0,0,1,0,0,0,0,False
M15079,298.3,308.5,1434.0,46.2,148,0,No Failure,2001-12-10 03:00:00,False,0,0,1,0,0,0,0,False
L47400,298.3,308.5,1416.0,52.7,151,0,No Failure,2001-12-10 04:00:00,False,0,0,1,0,0,0,0,False
H29635,298.4,308.5,1827.0,24.3,153,0,No Failure,2001-12-10 05:00:00,False,0,0,1,0,0,0,0,False
L47402,298.4,308.6,1304.0,45.0,158,0,No Failure,2001-12-10 06:00:00,False,0,0,1,0,0,0,0,False
L47403,298.4,308.6,1569.0,34.4,160,0,No Failure,2001-12-10 07:00:00,False,0,0,1,0,0,0,0,False
L47404,298.3,308.6,1584.0,29.3,162,0,No Failure,2001-12-10 08:00:00,False,0,0,1,0,0,0,0,False
